"command_id","alternative_command_id"
"cat-file","tail-file"
"cat-file","less-file"
"grep-file","grep-r-etc"
"grep-file","linux-suid-find"
"head-file","cat-file"
"head-file","less-file"
"tail-file","cat-file"
"tail-file","less-file"
"less-file","cat-file"
"tar-extract","unzip-file"
"tar-extract","gunzip-decompress"
"unzip-file","tar-extract"
"gzip-compress","tar-create"
"gunzip-decompress","tar-extract"
"verify-curl-available","python-http-server"
"verify-curl-available","nc-file-transfer"
"verify-credentials","verify-credentials"
"verify-credentials","verify-credentials"
"verify-port-open","nmap-port-check"
"verify-smb-null-session","smb-crackmapexec-shares"
"ft-certutil-download","ft-powershell-iwr"
"ft-certutil-download","ft-powershell-webclient"
"ft-certutil-download","ft-bitsadmin-download"
"ft-powershell-iwr","ft-certutil-download"
"ft-powershell-iwr","ft-powershell-webclient"
"ft-powershell-webclient","ft-powershell-iwr"
"ft-powershell-webclient","ft-certutil-download"
"ft-smb-download","ft-certutil-download"
"ft-smb-download","ft-powershell-webclient"
"ft-bitsadmin-download","ft-certutil-download"
"ft-bitsadmin-download","ft-powershell-webclient"
"ft-powershell-upload","ft-smb-upload"
"ft-powershell-upload","ft-nc-send"
"ft-powershell-upload","exfil-powershell-base64"
"ft-smb-upload","ft-powershell-upload"
"ft-smb-upload","ft-nc-send"
"ft-curl-upload","ft-nc-send"
"ft-curl-upload","ft-scp-upload"
"ft-nc-receive","ft-uploadserver"
"ft-nc-receive","ft-smb-server"
"ft-nc-send","ft-curl-upload"
"ft-nc-send","ft-bash-dev-tcp"
"ft-powershell-tcp-send","ft-nc-send"
"ft-powershell-tcp-send","ft-powershell-upload"
"ft-powershell-tcp-send","ft-smb-upload"
"ft-powershell-execute-memory","ft-certutil-download"
"ft-powershell-execute-memory","ft-powershell-iwr"
"ft-base64-encode","ft-nc-send"
"ft-base64-encode","ft-curl-upload"
"ft-scp-upload","ft-wget-download"
"ft-scp-upload","ft-curl-upload"
"ft-scp-download","ft-curl-upload"
"ft-scp-download","ft-nc-send"
"ft-wget-download","ft-curl-download"
"ft-wget-download","ft-bash-dev-tcp"
"ft-curl-download","ft-wget-download"
"ft-curl-download","ft-bash-dev-tcp"
"ft-bash-dev-tcp","ft-wget-download"
"ft-bash-dev-tcp","ft-curl-download"
"ft-python-http-server","php-http-server"
"ft-python-http-server","ruby-http-server"
"ft-smb-server","ft-python-http-server"
"ft-uploadserver","ft-smb-server"
"ft-uploadserver","ft-nc-receive"
"lsof-network-all","netstat-listening-tcp"
"lsof-network-all","ss-listening-all"
"lsof-listening-ports","netstat-listening-tcp"
"lsof-listening-ports","ss-listening-ports"
"lsof-port-specific","fuser-port-tcp"
"fuser-port-tcp","lsof-port-specific"
"netstat-listening-tcp","ss-listening-all"
"netstat-listening-tcp","lsof-listening-ports"
"ss-listening-all","netstat-listening-tcp"
"ss-listening-all","lsof-listening-ports"
"win-netstat-process-mapping","win-ps-netstat-process"
"win-ps-netstat-process","win-netstat-process-mapping"
"win-tasklist-pid","win-wmic-process-pid"
"win-tasklist-pid","win-ps-get-process"
"win-wmic-process-pid","win-tasklist-pid"
"systemctl-running-services","service-status-all-sysv"
"systemctl-service-permissions","service-status-all-sysv"
"systemctl-service-permissions","chkconfig-list-sysv"
"service-status-all-sysv","systemctl-running-services"
"win-sc-query-services","win-wmic-service-full"
"win-sc-query-services","win-ps-get-service"
"win-sc-query-all","win-wmic-service-full"
"win-sc-query-all","get-service"
"win-sc-query-config","win-wmic-service-path"
"win-wmic-service-full","win-sc-query-all"
"win-wmic-service-full","win-ps-get-service"
"win-wmic-service-path","win-sc-query-config"
"win-wmic-service-path","win-unquoted-service-paths"
"win-ps-get-service","win-sc-query-services"
"win-ps-get-service","win-wmic-service-full"
"win-ps-get-service-details","win-wmic-service-path"
"win-ps-get-service-details","win-sc-query-config"
"ps-grep-pattern","ps-aux-full"
"ps-grep-pattern","ps-grep-pattern"
"ps-grep-extract-pid","ps-grep-pattern"
"crontab-user-direct-read","crontab-user-list"
"less-etc-crontab","crontab-system-wide"
"tail-follow-syslog","journalctl-follow"
"journalctl-kernel-messages","dmesg-kernel-messages"
"journalctl-kernel-follow","dmesg-follow"
"ls-init-d","systemctl-list"
"top-snapshot-batch","ps-aux-full"
"ls-proc-fd-all","lsof-list"
"lsof-directory-non-recursive","lsof-directory-usage"
"crontab-user-list","cron-directories-list"
"crontab-user-list","linux-systemd-timers"
"crontab-user-specific","crontab-user-list"
"crontab-user-specific","cron-directories-list"
"crontab-system-wide","less-etc-crontab"
"cron-directories-list","crontab-user-list"
"cron-directories-list","crontab-system-wide"
"cron-directories-list","linux-systemd-timers"
"win-schtasks-list-all","win-ps-scheduled-tasks"
"win-schtasks-list-all","get-scheduledtask"
"win-ps-scheduled-tasks","win-schtasks-list-all"
"tail-follow-log","tail-follow-multiple"
"tail-follow-log","journalctl-follow"
"tail-follow-filter","tail-follow-log"
"tail-follow-filter","journalctl-follow"
"tail-follow-filter","journalctl-service-follow"
"journalctl-follow","tail-follow-log"
"journalctl-service-follow","tail-follow-filter"
"journalctl-service-follow","tail-follow-log"
"journalctl-service-follow","journalctl-follow"
"grep-auth-failed","lastb-failed-logins"
"grep-sudo-commands","ps-aux-full"
"grep-sudo-commands","journalctl-service-follow"
"lastb-failed-logins","grep-auth-failed"
"journalctl-boot-messages","dmesg-kernel-messages"
"systemctl-list","service-status-all-sysv"
"lsof-list","netstat-listening-tcp"
"lsof-list","ss-listening-all"
"free-memory-human","cat-proc-meminfo"
"uptime-load-average","cat-proc-loadavg"
"lsof-directory-usage","fuser-directory-processes"
"fuser-directory-processes","lsof-directory-usage"
"who-logged-in","w-user-activity"
"lastlog-user-last","last-login-history"
"ps-aux-full","ps-ef-full"
"ps-aux-full","top-snapshot"
"ps-aux-full","pstree-hierarchy"
"ps-auxww-no-truncate","ps-ef-full"
"ps-ef-full","ps-aux-full"
"ps-ef-full","pstree-hierarchy"
"pstree-hierarchy","ps-ef-full"
"top-snapshot","ps-sort-cpu"
"ps-user-filter","ps-aux-full"
"ps-user-filter","ps-user-filter"
"win-tasklist-verbose","win-wmic-process-full"
"win-tasklist-verbose","win-ps-get-process"
"win-tasklist-services","win-wmic-service-full"
"win-tasklist-services","win-ps-get-service"
"win-wmic-process-full","win-ps-get-process-detailed"
"win-wmic-process-full","win-tasklist-verbose"
"win-ps-get-process","win-tasklist-verbose"
"win-ps-get-process","win-wmic-process-full"
"win-ps-get-process-detailed","win-wmic-process-full"
"import-powerview","import-sharphound"
"import-powerview","ldapsearch-ad"
"get-netdomain","ldapsearch-dump"
"get-netuser","net-user-domain-list"
"get-netuser","ps-ldapsearch-users"
"get-netuser","get-aduser"
"get-netgroup","net-group-domain-list"
"get-netgroup","ps-ldapsearch-groups"
"get-netgroup","get-adgroup"
"get-netcomputer","get-adcomputer"
"get-netcomputer","ps-ldapsearch-computers"
"invoke-sharefinder","smb-crackmapexec-shares"
"invoke-sharefinder","smb-enum"
"invoke-sharefinder","net-view-shares"
"get-netgpo","get-netgpo"
"get-domainsid","get-domainsid"
"kerbrute-userenum-ad","enum4linux-users-ad"
"kerbrute-userenum-ad","ldapsearch-users-ad"
"crackmapexec-rid-cycling","kerbrute-userenum-ad"
"crackmapexec-rid-cycling","enum4linux-users-ad"
"crackmapexec-rid-cycling","ldapsearch-users-ad"
"ldapsearch-users-ad","kerbrute-userenum-ad"
"ldapsearch-users-ad","enum4linux-users-ad"
"ldapsearch-users-ad","crackmapexec-rid-cycling"
"enum4linux-users-ad","kerbrute-userenum-ad"
"enum4linux-users-ad","crackmapexec-rid-cycling"
"enum4linux-users-ad","ldapsearch-users-ad"
"spray-passwords-ldap","crackmapexec-smb-spray"
"spray-passwords-ldap","kerbrute-passwordspray"
"spray-passwords-ldap","crackmapexec-winrm-spray"
"crackmapexec-smb-spray","spray-passwords-ldap"
"crackmapexec-smb-spray","kerbrute-passwordspray"
"crackmapexec-smb-spray","crackmapexec-winrm-spray"
"kerbrute-passwordspray","spray-passwords-ldap"
"kerbrute-passwordspray","crackmapexec-smb-spray"
"kerbrute-passwordspray","crackmapexec-winrm-spray"
"crackmapexec-winrm-spray","crackmapexec-smb-spray"
"crackmapexec-winrm-spray","spray-passwords-ldap"
"crackmapexec-winrm-spray","kerbrute-passwordspray"
"petitpotam-coerce","coercer-coerce"
"petitpotam-coerce","printerbug-trigger"
"coercer-coerce","petitpotam-coerce"
"coercer-coerce","printerbug-trigger"
"printerbug-trigger","petitpotam-coerce"
"printerbug-trigger","coercer-coerce"
"dfscoerce-trigger","petitpotam-coerce"
"dfscoerce-trigger","coercer-coerce"
"ad-dcsync-mimikatz-user","ad-dcsync-secretsdump-user"
"ad-dcsync-mimikatz-krbtgt","ad-dcsync-secretsdump-user"
"ad-dcsync-mimikatz-administrator","ad-dcsync-secretsdump-user"
"ad-dcsync-mimikatz-administrator","ad-dcsync-mimikatz-user"
"ad-golden-ticket-dcsync-krbtgt","ad-golden-ticket-lsa-dump-krbtgt"
"ad-golden-ticket-lsa-dump-krbtgt","ad-golden-ticket-dcsync-krbtgt"
"ad-golden-ticket-purge-tickets","kerberos-klist-purge"
"ad-golden-ticket-mimikatz-create","ad-golden-ticket-rubeus-create"
"ad-golden-ticket-rubeus-create","ad-golden-ticket-mimikatz-create"
"impacket-getnpusers-asreproast","rubeus-asreproast"
"impacket-getnpusers-asreproast","impacket-getnpusers-identify"
"impacket-getnpusers-identify","powerview-asreproast-identify"
"rubeus-asreproast","impacket-getnpusers-asreproast"
"powerview-asreproast-identify","impacket-getnpusers-identify"
"enter-pssession","invoke-command"
"invoke-command","enter-pssession"
"test-admin-share-access","net-use-admin-share"
"test-admin-share-access","dir-admin-share"
"net-use-admin-share","smbmap-shares"
"net-use-admin-share","crackmapexec-smb-framework"
"dir-admin-share","smbmap-shares"
"dir-admin-share","crackmapexec-smb-framework"
"copy-file-admin-share","copy-file-admin-share"
"ad-check-vss-service","ad-dcsync-ntds-credentials"
"ad-vssadmin-create-shadow","ad-vshadow-create-shadow"
"ad-vssadmin-create-shadow","ad-diskshadow-create-shadow"
"ad-vshadow-create-shadow","ad-vssadmin-create-shadow"
"ad-vshadow-create-shadow","ad-diskshadow-create-shadow"
"ad-diskshadow-create-shadow","ad-vssadmin-create-shadow"
"ad-diskshadow-create-shadow","ad-vshadow-create-shadow"
"ad-wmic-create-shadow","ad-vssadmin-create-shadow"
"ad-wmic-create-shadow","ad-vshadow-create-shadow"
"ad-wmic-create-shadow","ad-diskshadow-create-shadow"
"ad-dcsync-mimikatz-single-user","ad-dcsync-impacket-secretsdump-user"
"ad-dcsync-mimikatz-single-user","ad-dcsync-mimikatz-user"
"ad-dcsync-impacket-secretsdump-user","ad-dcsync-mimikatz-single-user"
"ad-dcsync-impacket-secretsdump-user","ad-dcsync-impacket-secretsdump-user"
"ad-dcsync-check-domain-admins","ad-dcsync-check-user-groups"
"ad-dcsync-check-domain-admins","ad-dcsync-check-replication-rights"
"ad-dcsync-check-user-groups","ad-dcsync-check-domain-admins"
"ad-dcsync-check-user-groups","ad-dcsync-check-replication-rights"
"ad-dcsync-check-replication-rights","ad-dcsync-check-domain-admins"
"ad-dcsync-check-replication-rights","ad-dcsync-check-user-groups"
"gmsadumper","bloodyad-gmsa"
"bloodyad-gmsa","gmsadumper"
"laps-password-cme","laps-password-ldapsearch"
"laps-password-ldapsearch","laps-password-cme"
"powerview-gmsa","gmsadumper"
"certipy-find","certify-find"
"certipy-req-esc1","certify-request"
"certify-find","certipy-find"
"certify-request","certipy-req-esc1"
"rubeus-asktgt-cert","certipy-auth"
"mimikatz-overpass-the-hash","impacket-psexec"
"mimikatz-overpass-the-hash","impacket-wmiexec"
"mimikatz-token-elevate-domainadmin","mimikatz-sekurlsa-logonpasswords"
"mimikatz-dcsync-user","ad-dcsync-impacket-secretsdump-user"
"mimikatz-sekurlsa-ekeys","mimikatz-sekurlsa-logonpasswords"
"rbcd-set-msds","bloodyad-rbcd"
"rbcd-get-st","rubeus-s4u-impersonate"
"impacket-get-st-constrained","rubeus-s4u-impersonate"
"bloodyad-rbcd","rbcd-set-msds"
"crackmapexec-validate-admin","kerbrute-validate-creds"
"crackmapexec-validate-admin","pth-evil-winrm"
"crackmapexec-validate-admin","ftp-connect"
"kerbrute-validate-creds","crackmapexec-validate-admin"
"kerbrute-validate-creds","ftp-connect"
"kerbrute-validate-creds","pth-evil-winrm"
"impacket-getuserspns-kerberoast","rubeus-kerberoast"
"impacket-getuserspns-kerberoast","powerview-kerberoast"
"impacket-getuserspns-list","setspn-list-user-spns"
"rubeus-kerberoast","impacket-getuserspns-kerberoast"
"rubeus-kerberoast","powerview-kerberoast"
"rubeus-kerberoast-aes","rubeus-kerberoast"
"powerview-kerberoast","rubeus-kerberoast"
"powerview-kerberoast","impacket-getuserspns-kerberoast"
"setspn-list-user-spns","impacket-getuserspns-list"
"ad-sam-dump-reg-save","crackmapexec-sam-dump"
"ad-sam-dump-reg-save","impacket-secretsdump"
"crackmapexec-sam-dump","ad-sam-dump-reg-save"
"download-powerview","curl-download-powerview"
"curl-download-powerview","download-powerview"
"set-executionpolicy-bypass","powershell-ep-bypass-flag"
"powershell-ep-bypass-flag","set-executionpolicy-bypass"
"ad-dcsync-secretsdump-user","ad-dcsync-mimikatz-user"
"ad-dcsync-secretsdump-user","ad-dcsync-secretsdump-all"
"ad-dcsync-secretsdump-krbtgt","ad-dcsync-mimikatz-krbtgt"
"ad-dcsync-secretsdump-all","ad-dcsync-secretsdump-user"
"net-accounts-policy","enum4linux-policy"
"net-accounts-policy","crackmapexec-policy"
"net-accounts-policy","ldapsearch-policy"
"enum4linux-policy","net-accounts-policy"
"enum4linux-policy","crackmapexec-policy"
"enum4linux-policy","ldapsearch-policy"
"crackmapexec-policy","net-accounts-policy"
"crackmapexec-policy","enum4linux-policy"
"crackmapexec-policy","ldapsearch-policy"
"ldapsearch-policy","net-accounts-policy"
"ldapsearch-policy","enum4linux-policy"
"ldapsearch-policy","crackmapexec-policy"
"ad-silver-ticket-mimikatz-create","ad-silver-ticket-rubeus-create"
"ad-silver-ticket-mimikatz-create","overpass-mimikatz-pth"
"ad-silver-ticket-rubeus-create","ad-silver-ticket-mimikatz-create"
"ad-enumerate-spn-target","powerview-enumerate-spns"
"ad-enumerate-spn-target","impacket-getuserspns-list"
"ad-pass-the-hash-crackmapexec","ad-pass-the-hash-impacket-psexec"
"ad-pass-the-hash-crackmapexec","ad-pass-the-hash-impacket-wmiexec"
"ad-pass-the-hash-impacket-psexec","ad-pass-the-hash-impacket-wmiexec"
"ad-pass-the-hash-impacket-psexec","ad-pass-the-hash-crackmapexec"
"ad-pass-the-hash-impacket-wmiexec","ad-pass-the-hash-impacket-psexec"
"ad-pass-the-hash-impacket-wmiexec","ad-pass-the-hash-crackmapexec"
"mimikatz-kerberos-ptt","kerberos-rubeus-ptt"
"icacls-sysvol-check","get-netgpo"
"icacls-sysvol-check","powerview-get-netgpo"
"xss-test-svg-onload","xss-test-body-onload"
"xss-test-svg-onload","xss-test-img-onerror"
"xss-test-svg-onload","xss-test-script-basic"
"xss-test-body-onload","xss-test-svg-onload"
"xss-test-body-onload","xss-test-img-onerror"
"xss-test-body-onload","xss-test-script-basic"
"xss-test-img-onerror","xss-test-svg-onload"
"xss-test-img-onerror","xss-test-body-onload"
"xss-test-img-onerror","xss-test-script-basic"
"xss-test-script-basic","xss-test-img-onerror"
"xss-test-script-basic","xss-test-svg-onload"
"xss-test-script-basic","xss-test-script-context-break"
"xss-test-script-context-break","xss-test-script-basic"
"xss-test-script-context-break","xss-test-event-context-break"
"xss-test-event-context-break","xss-test-script-context-break"
"xss-test-event-context-break","xss-test-img-onerror"
"xss-filter-bypass-case","xss-filter-bypass-encoding"
"xss-filter-bypass-case","xss-test-img-onerror"
"xss-filter-bypass-encoding","xss-filter-bypass-case"
"xss-filter-bypass-encoding","xss-filter-bypass-encoding"
"xss-cookie-stealer","xss-session-hijack-fetch"
"xss-session-hijack-fetch","xss-cookie-stealer"
"sqli-detection-error","sqlmap-post-exploitation"
"sqli-column-enum-orderby","sqlmap-post-exploitation"
"sqli-union-select-basic","sqlmap-post-exploitation"
"sqli-union-mysql-info","sqlmap-post-exploitation"
"sqli-union-postgresql-info","sqlmap-post-exploitation"
"sqli-union-mssql-info","sqlmap-post-exploitation"
"sqlmap-post-exploitation","sqli-detection-error"
"sqlmap-post-exploitation","sqli-column-enum-orderby"
"sqlmap-post-exploitation","sqli-union-select-basic"
"wpscan-enumerate-all","wordpress-manual-version"
"wpscan-enumerate-all","whatweb-enum"
"wpscan-enumerate-all","nikto-scan"
"wpscan-aggressive-detection","wordpress-manual-version"
"wpscan-password-attack","burp-intruder"
"wordpress-xmlrpc-enum","wpscan-aggressive-detection"
"wordpress-manual-version","whatweb-enum"
"wordpress-manual-version","wpscan-enumerate-all"
"curl-ua-poison-apache","lfi-access-log-apache"
"curl-ua-poison-apache","lfi-rce-trigger"
"gobuster-dir","dirbuster"
"gobuster-dir","wfuzz-params"
"gobuster-dir","gobuster-dir-common"
"gobuster-dir","gobuster-dir-custom"
"sqlmap-basic","sqlmap-from-request"
"sqlmap-basic","sqlmap-from-request-level3"
"sqlmap-basic","sqli-manual-test"
"sqli-manual-test","sqlmap-from-request"
"sqli-manual-test","sqlmap-basic"
"wfuzz-params","burp-intruder"
"whatweb-enum","nikto-scan"
"whatweb-enum","curl-post"
"user-registration-test","burpsuite-modify-upload"
"burpsuite-modify-upload","create-php-webshell"
"sqlmap-from-request","sqli-manual-test"
"sqlmap-from-request-level3","sqlmap-from-request"
"sqlmap-enumerate-databases","sqli-union-mysql-info"
"sqlmap-enumerate-tables","sqli-union-mysql-info"
"sqlmap-dump-table","sqli-union-mysql-info"
"curl-wordpress-version-feed","wpscan-enumerate-all"
"ps-reverse-shell-base64","msfvenom-powershell-reverse"
"ps-reverse-shell-base64","bash-reverse-shell"
"ps-reverse-shell-encoder-python","revshell-ps-generator"
"powerview-get-netdomain","ps-get-current-domain"
"powerview-get-netdomaincontroller","ps-get-pdc"
"powerview-get-netuser","net-user-domain-list"
"powerview-get-netuser","ps-directorysearcher-users"
"powerview-get-netuser-filter","net-user-domain-detail"
"powerview-get-netuser-spn","setspn-query-all"
"powerview-get-netgroup","net-group-domain-list"
"powerview-get-netgroup","ps-directorysearcher-groups"
"powerview-get-netgroup-specific","net-group-domain-members"
"powerview-get-netgroupmember","powerview-get-netgroup-specific"
"powerview-get-netgroupmember","net-group-domain-members"
"powerview-get-netcomputer","ps-directorysearcher-computers"
"powerview-get-netcomputer","dsquery-computer"
"powerview-get-netuser-all","ldapsearch-users-ad"
"powerview-get-netuser-all","enum4linux-users-ad"
"powerview-get-netuser-all","get-aduser"
"ps-get-current-domain","get-netdomain"
"ps-get-pdc","net-domain-controllers"
"ps-directorysearcher-users","get-netuser"
"ps-directorysearcher-groups","get-netgroup"
"ps-directorysearcher-computers","get-netcomputer"
"ps-directorysearcher-computers","dsquery-computer"
"ps-ldapsearch-users","get-netuser"
"ps-ldapsearch-computers","get-netcomputer"
"ps-ldapsearch-groups","get-netgroup"
"ps-ldapsearch-spns","get-netuser"
"powerview-get-netsession","psloggedon"
"powerview-get-netloggedon","psloggedon"
"sysinternals-psloggedon","powerview-get-netloggedon"
"net-view-shares","powerview-find-domainshare"
"test-share-access","smbmap-enumerate-auth"
"test-share-access","crackmapexec-smb-framework"
"search-share-files","smbmap-enumerate-auth"
"search-share-files","dir-admin-share"
"gpp-password-files","get-gpppassword"
"hashid","hash-identifier"
"hashid","hash-identifier-run"
"net-user-domain-list","get-netuser"
"net-group-domain-list","get-netgroup"
"net-accounts-domain","ldapsearch-policy"
"net-accounts-domain","crackmapexec-policy"
"setspn-query-all","get-netuser"
"dsquery-user","net-user-domain-list"
"dsquery-user","get-netuser"
"dsquery-computer","get-netcomputer"
"dsquery-group","net-group-domain-list"
"dsquery-group","get-netgroup"
"net-group-domain-computers","get-netcomputer"
"net-domain-controllers","net-domain-controllers"
"setspn-list-all","get-netuser"
"dsquery-users","get-netuser"
"dsquery-computers","get-netcomputer"
"dsquery-admins","powerview-get-netuser-all"
"dsquery-admins","ldapsearch-users-ad"
"dsquery-domain-controllers","net-domain-controllers"
"powerview-get-objectacl","get-acl"
"powerview-get-netcomputer-os","get-adcomputer"
"powerview-get-netcomputer-os","crackmapexec-smb-spray"
"check-remote-registry-service","get-service"
"query-hkey-users-remote","psloggedon"
"john-wordlist-attack","hashcat-md5-crack"
"john-wordlist-attack","hashcat-ntlm-crack"
"john-rules-attack","hashcat-rule-attack"
"john-rules-attack","hashcat-best64-rules"
"john-show-cracked","hashcat-show-cracked"
"john-ssh-key-crack","hashcat-ssh-key-crack"
"john-keepass-crack","hashcat-keepass-crack"
"john-incremental-mode","hashcat-increment"
