"id","flag","explanation"
"8b635b199552ec0c","--append-domain","Append base domain to wordlist entries (e.g., 'dev' becomes 'dev.example.com')"
"2a155ab6d7c875b5","axfr","Zone transfer query type - requests complete copy of zone data (AXFR = Authoritative Transfer Full)"
"b8c65e7f5c14876c","@","Specifies which nameserver to query directly"
"1a68156bac40ee7f","-n","Numeric output (don't resolve hostnames/ports)"
"4ef9b67f95ee61dd","-A INPUT","Append rule to INPUT chain (inbound traffic)"
"4e3a67856f326897","--dport","Destination port to match"
"83ad549e38367656","-j ACCEPT","Jump target (ACCEPT allows the packet)"
"b0b5fed2387c3acc","-t nat","Specify NAT table (for port forwarding)"
"6471462feda2eeea","-A PREROUTING","Append to PREROUTING chain (before routing decision)"
"ec91be71a55ec7cf","-j REDIRECT","Redirect packets to different port"
"cb8c5c355f6b5679","--to-port","Target port for redirection"
"e0b5d06a9d946b75","-D","Delete rule from chain"
"bf19c0030490d02e","<CHAIN>","Chain containing the rule"
"a9549df5148ba972","<RULE_NUMBER>","Position of rule to delete"
"b18f915ceb49196f","-F","Flush (delete) all rules in selected chain or all chains"
"35b1fa3e835baade","status","Show firewall status"
"52d2a0b4fdd33da2","verbose","Show detailed rule information"
"fe8af8a9c45867a4","allow","Allow traffic (creates ACCEPT rule)"
"e0fc79c38c9dd6ec","<PORT>/<PROTOCOL>","Port and protocol to allow"
"cdca8982389d0603","disable","Turn off firewall (does not delete rules)"
"088002f582a66846","--list-all","List all zones, services, ports, and rules"
"47ee42376456e898","--zone=public","Target zone (usually 'public' for Internet-facing)"
"c90f9b5cc8df922d","--add-port","Add port to allowed list"
"0a31f4e08fee2487","--permanent","Make rule persistent across reboots"
"1740d876446ffba3","--add-forward-port","Add port forwarding rule"
"ebfd7cbfa937a32a","port=","Source port"
"40d77adaad97a04f","proto=","Protocol"
"f3bd2db86b42388a","toport=","Destination port"
"fed633826f247de2","advfirewall","Advanced firewall configuration"
"ddd1a0b5b3353e8b","show","Display settings"
"c64613f904daa6ec","allprofiles","All profiles (Domain, Private, Public)"
"7f63ffe1a0f9e79d","firewall","Legacy firewall command"
"9a61d1dd5bb4898c","show state","Display current firewall state"
"fd4f85607fb7b9ae","add rule","Create new firewall rule"
"855fe6a076ea1e2a","name=","Rule name (must be unique)"
"c22c6d390bfec8eb","protocol=","Network protocol"
"c8108ae16901adfa","dir=in","Direction (in=inbound, out=outbound)"
"9e2a1eac710a4f12","localport=","Local port number"
"314502e6704de6c3","action=allow","Allow the traffic (vs block)"
"98fc4320b40e2438","localip=","Bind to specific local IP"
"73e11c320876d83e","portproxy","Port proxy/forwarding configuration"
"724d0def0751e79e","add v4tov4","Add IPv4 to IPv4 forwarding rule"
"537c730abe91ae98","listenport=","Port to accept connections on"
"9e7093dc35717dbc","listenaddress=","IP to bind listener (0.0.0.0 = all interfaces)"
"5be61dc02d3f6f62","connectport=","Destination port"
"2fef52470a4b7f95","connectaddress=","Destination IP"
"c8957ab29818f8c7","show all","Display all forwarding rules"
"19c3f0e7e9d12fd2","set allprofiles","Configure all profiles (Domain/Private/Public)"
"60141bbd11e388b6","state off","Disable firewall"
"f86684beb4c1c291","delete rule","Remove firewall rule"
"fe5dc4426b6383c4","-r","Display routing table"
"41a0e4dc513b0f5c","os","WMI class for operating system information"
"50e28aae1bc2a574","get caption,version","Retrieve only caption and version properties"
"96feebe5f9775295","/all","Display all information (user, groups, privileges, integrity level)"
"e52eeedb9d1ab7cb","-Port 22","Test connectivity to SSH port 22"
"35bbf58fe1416adb","systemctl","Systemd service manager - controls service lifecycle"
"82e3126fb8d5907e","start","Start service immediately (does not enable at boot)"
"f98e316faa556f7e","ssh","Service name for OpenSSH server daemon (sshd)"
"396def93f903a04e","apache2","Service name for Apache HTTP server"
"851143307ac3c2f6","-l","Show only listening sockets (servers waiting for connections)"
"48304d63a53df439","ip","iproute2 command - modern networking utility"
"0ca9c44e2fc10ad9","addr","Address management - show/manipulate IP addresses (can also use 'ip a' shorthand)"
"5f8ca7a5c60376d9","route","Routing table management - show/manipulate kernel routing table (can also use 'ip r' shorthand)"
"0e9671ac0ce24e43","-h","Host - PostgreSQL server IP address or hostname"
"9b464139eda3b7cf","-W","(Optional) Force password prompt - useful if password not in .pgpass"
"83d5752fc043024e","delete v4tov4","Remove IPv4-to-IPv4 port forwarding rule"
"6a8c2973d705862a","/priv","Display user privileges"
"b44b0fc13a5ec187","-b","(Optional) Display executable name (requires admin)"
"4a961227807cbfb2","-f","(Optional) Background SSH process after authentication - frees up terminal"
"f8371e56d14d1dee","-o ServerAliveInterval=60","(Optional) Keep connection alive with 60-second heartbeat"
"638fe655d519c816","-R <port>","Remote dynamic forward - note no destination specified, creates SOCKS proxy"
"8d13070304efbf59","-ddd","Debug verbosity level 3 - shows detailed connection information"
"7ce2098c6b472bc7","TCP-LISTEN:<port>,fork","Listen on TCP port, fork creates subprocess for each connection (prevents single-connection death)"
"1f75ec524e000eb3","TCP:<ip>:<port>","Destination TCP socket to forward to"
"6025cdb74071df8c","-d or -dd","(Alternative) Lower verbosity levels if less output desired"
"d5e6868591eae38b","-ssh","Force SSH protocol (not Telnet or rlogin)"
"ba8828cc65c06dc5","-pw","Password for authentication (insecure - visible in process list, use -i for key file)"
"6dff6bf21f658b45","-i","(Alternative) Private key file for authentication instead of password"
"4adfe26108c54237","/v:","Target server and port (syntax: ip:port)"
"0c0882304d53a4df","/u:","Username for authentication"
"a21bb632463f341f","/p:","Password for authentication (visible in process list)"
"2e6de79f079755f3","/cert-ignore","Ignore certificate verification errors (self-signed certs)"
"a73d8170a2b24a58","+clipboard","Enable clipboard sharing between local and remote"
"f959ba32f91f77dc","/size:","(Optional) Screen size - e.g., /size:1920x1080 or /size:1280x720"
"5c2a1c794b2110bf","/f","(Optional) Fullscreen mode"
"3bb62d830c3787c5","+drive:share,/path","(Optional) Share local directory - accessible as \\tsclient\share"
"864d362776748c8c","-V","Display version information and exit"
"83c7ff1fa52ef5f5","-vv","More verbose (level 2) - detailed connection info"
"eed7c13b5844af19","-vvv","Maximum verbosity (level 3) - full protocol debug including key exchange"
"ec56d3c1a33e2451","--dns","Forward DNS queries through tunnel (prevents DNS leaks)"
"f9a7a7e1291a282a","-x","(Optional) Exclude subnet - e.g., -x 172.16.50.215/32 to exclude pivot itself"
"b54f4379caa16582","--no-latency-control","(Optional) Disable latency optimization for speed"
"e875589e3fe1a79c","chmod 600","Set restrictive permissions on private key - SSH requires key file to be readable only by owner (not group/other). Without this, SSH will refuse to use the key with 'WARNING: UNPROTECTED PRIVATE KEY FILE' error"
"cbb78e82f03ea179","-m PEM","Specify output format as PEM (RFC 4716) - older, more compatible format. Converts from newer OpenSSH format if needed. Essential for compatibility with older SSH implementations"
"eee07e1b03c6ff0d","-q","Proxychains quiet mode - suppress proxy chain output"
"45f2a22a49bffc80","-sT","TCP connect scan (required - proxychains uses LD_PRELOAD, incompatible with SYN scan)"
"9e474edd9ad2a1d6","--top-ports","Scan N most common ports (faster than full 65535 scan)"
"e2b6c72e2c920535","--","Pass flags to nmap"
"a5d2c1ba435ba518","--rate","Packets per second"
"42a0b2b231b62427","-S","Get sharelist"
"7fa45237ceab9a14","-G","Get group and member list"
"a049d5547a376b6f","-A","Do all enumeration"
"75448214e7b17584","-C","Get RPC info"
"508ac7f2fb64938e","'*'","All attributes"
"8967dc69384d7c65","-perm -u=s","Find SUID bit set"
"f587709c187ccc3a","-type f","Files only"
"8c134112fe76eddd","2>/dev/null","Suppress errors"
"99c662d4720a9ac6","-fc","Filter HTTP status codes"
"1ac9f97b5e4efa1a","-fs","Filter response size"
"87fb93b640a017fc","dir","Directory/file enumeration mode"
"30f63bbc5d330eb9","--hc","Hide HTTP status codes"
"252d5cb90d2f78b4","--hl","Hide by line count"
"694033e812915614","--hw","Hide by word count"
"941ad44e3a20ab43","-ssl","Force SSL mode"
"c5fcabc36dd47942","--url","Target WordPress site"
"bcc2be3e0d742628","--enumerate","Enumerate users(u), plugins(p), themes(t)"
"bbd94723ce204b3d","--api-token","WPVulnDB API token for vulnerability data"
"8c7df1479d3d2a86","-ec","Enumerate components"
"c5c271770401c9eb","scan","CMS to scan"
"7a103b4779d70048","-np","No parent (don't ascend to parent directory)"
"a299c14cb24e2a06","-nH","No host directories"
"07a8263bdd88fe04","--cut-dirs","Ignore N directory levels"
"c151541e03bc165b","--batch","Non-interactive mode"
"674ad2f2c6e187c2","--dbs","Enumerate databases"
"35cb236d0cadf4a6","--dump","Dump table data"
"092958f1daaa7cb3","-P","Specify SSH port (uppercase P)"
"d5d07541e3b09e0c","PUT","Upload file"
"ed5128d1678287f8","GET","Download file"
"3916e2c62b72fd6c","-smb2support","Enable SMB2 support"
"c1acba2db2c92ac2","-username","Require authentication"
"b60c193a9821f589","-password","Set password"
"63fda6e0f9623b8e","/transfer","Transfer job name"
"dc4a0529460f36e1","/download","Download mode"
"820de0076d78a655","/priority","Priority level"
"10b2f10a6eb20b7f","-Uri","URL to download"
"3b3b37acb3a23240","-OutFile","Output file path"
"4490e095574da94e","--reverse","Enable reverse tunneling"
"c687ff1a65874407","--socks5","Enable SOCKS5 proxy"
"77718abbb7d8f7f0","LHOST","Local host (attacker IP)"
"a0bbe38f9b4c1a72","LPORT","Local port (listening port)"
"a3aa89353f31f51e","-e","Encoder (x86/shikata_ga_nai)"
"ac6a84bbda91a3f3","-m","Mirror exploit to current directory"
"b2a624b8751f7222","file:`tty`,raw,echo=0","PTY allocation for better shell"
"47a44cf5eef29948","tcp-listen","TCP listener"
"5b58e30f41521069","-k","Kernel exploits"
"b4e22f05647a57ee","--update","Update exploit database"
"71fa336b059f9dbe","--database","Path to database file"
"72360e95b2377425","--systeminfo","systeminfo output file"
"885b1640c62fffcb","-ep bypass","Bypass execution policy"
"f1ae71e12e0d2545","-Extended","Extended checks (slower)"
"405538c812a3fd8a","-Report","Output format (HTML, CSV, TXT)"
"7b3a622130420246","-group=all","Run all checks"
"6605fbdb80a349a6","-group=system","System checks only"
"c264cd0be7a879c4","-group=user","User checks only"
"799d0b1555a815a5","--domain","Target domain"
"71f560b075a981a5","--zipfilename","Output file name"
"900a2fa98b28563b","http-post-form","HTTP POST form module"
"bfbcfcd575910058","-M","Module to use (ssh, ftp, etc.)"
"5bf7e90f04d7d61a","--local-auth","Local authentication"
"304061f2b030f444","--wordlist","Wordlist for cracking"
"87010e877944441f","--format","Hash format (md5, sha256, etc.)"
"26a5147ff5c52e99","--show","Show cracked passwords"
"0ecb0dcb1c390d02","-j","Show John formats"
"01ef6e8761de31a0","--dc","Domain controller IP"
"2520b92e5a471422","--users","Enumerate domain users"
"daaf84f364f8eca5","--groups","Enumerate domain groups"
"f06c2826a08b943f","-just-dc","DCSYNC MODE - Uses DRSUAPI (Directory Replication Service API) to impersonate domain controller and request credential replication. Extracts NTLM hashes, LM hashes, Kerberos keys (AES256, AES128, DES), password history, and supplemental credentials for ALL domain users. REQUIRES: Domain Admin, Enterprise Admin, or explicit replication rights (DS-Replication-Get-Changes + DS-Replication-Get-Changes-All). OUTPUT: Full credential dump including password history and Kerberos keys. TIME: 1-10 minutes for full domain (depends on user count: 50 users ~30sec, 500 users ~5min). ADVANTAGE: Works remotely without DC access, stealthier than NTDS.dit file copy, appears as normal replication traffic. DETECTION: Event ID 4662 on DC (replication request from non-DC machine). USE CASE: Post-exploitation after obtaining Domain Admin - dump entire domain for analysis, offline cracking, and persistence planning. COMPARISON: -just-dc (full dump, slow) vs -just-dc-ntlm (NTLM only, faster) vs -just-dc-user (single user, fastest)."
"8a2d15754e2abf4f","-just-dc-ntlm","DCSync mode with NTLM-only extraction (skips Kerberos keys, password history, supplemental credentials). FASTER than -just-dc (30-50% speed improvement) while still providing the most critical credential type (NTLM hashes). OUTPUT FORMAT: domain\user:RID:LMhash:NThash::: - Ready for Pass-the-Hash attacks, offline cracking with Hashcat, or Golden/Silver ticket creation. TIME ESTIMATE: 30-120 seconds for typical OSCP domain (50-200 users). RECOMMENDED FOR OSCP EXAMS: Balances speed and completeness. NTLM hashes are sufficient for PTH, ticket forgery, and credential cracking - you rarely need Kerberos keys unless doing advanced AES-based attacks. MEMORY EFFICIENT: Smaller output (no verbose Kerberos data), easier to parse and store. WHEN TO USE: Time-constrained scenarios (OSCP exam), when you only need hashes for PTH/cracking, or when -just-dc is too slow on large domains."
"b6aef0c27acf0b17","-just-dc-user <username>","DCSync SINGLE USER - Extracts credentials for ONE specific domain account. FASTEST DCSync method (1-5 seconds). RECOMMENDED USAGE: Target high-value accounts (Administrator, krbtgt for Golden tickets, specific domain admins). STEALTH ADVANTAGE: Single-user replication is less suspicious than full domain dump (generates fewer Event ID 4662 logs, appears more like targeted query). OSCP WORKFLOW: After obtaining Domain Admin, immediately DCSync krbtgt (Golden ticket), then DCSync Administrator (backup access), then selectively DCSync other high-value targets. TROUBLESHOOTING: If username not found, verify spelling (case-insensitive but must be exact). For computer accounts, append $ (e.g., DC1$). EXAMPLE: impacket-secretsdump -just-dc-user krbtgt 'corp.com/administrator:Pass123!@192.168.50.70' - Dumps ONLY krbtgt account (for Golden ticket creation)."
"0d3e85f412600f0c","-sam","SAM DATABASE DUMP - Extracts local account credentials from the Security Account Manager (SAM) database on target machine. REQUIRES: Local Administrator privileges on target (NOT domain admin needed). TARGET: Member servers, workstations (NOT domain controllers - DCs don't store local accounts in SAM). OUTPUT: Local account hashes (Administrator, Guest, custom local accounts). DOES NOT include domain accounts. USE CASE: Lateral movement after compromising local admin on member server - dump local admin hash, reuse across network (password reuse common). COMPARISON: -sam (local accounts) vs -just-dc (domain accounts via DCSync) vs -ntds (domain accounts via file extraction). TIME: <10 seconds. DETECTION: Reads HKLM\SAM registry hive (Event ID 4663: Object Access). COMBINE WITH -security and -system for complete local credential dump."
"a78f45445a3ece4d","-security","SECURITY HIVE DUMP - Extracts cached domain credentials, LSA secrets, and service account passwords from SECURITY registry hive. INCLUDES: Cached domain logons (last 10 domain users who logged on), LSA secrets (service account passwords, scheduled task credentials, VPN passwords), DPAPI master keys. REQUIRES: Local admin privileges. TARGET: Any Windows machine (member servers, workstations, even DCs). OUTPUT: Plaintext passwords for services, cached domain hashes (can be cracked offline). HIGH VALUE: Often reveals service account plaintext passwords (stored for services running as domain accounts), or cached domain admin credentials from previous logons. TIME: <10 seconds. COMBINE WITH -sam and -system for full local dump: impacket-secretsdump -sam -security -system corp.com/localadmin:pass@192.168.50.80"
"c732ab9231e22d3d","-system","SYSTEM HIVE DUMP - Extracts bootkey (system key) needed to decrypt SAM and SECURITY hive data. REQUIRED when using -sam or -security flags (SAM/SECURITY are encrypted with bootkey). TECHNICAL: Bootkey is derived from registry keys in HKLM\SYSTEM\CurrentControlSet\Control\Lsa (JD, Skew1, GBG, Data). Secretsdump automatically extracts bootkey and uses it to decrypt SAM/SECURITY hives. TIME: <5 seconds. USAGE: Always specify -system when using -sam or -security. EXAMPLE: impacket-secretsdump -sam -security -system corp.com/admin:pass@192.168.50.80 dumps all local credentials (SAM accounts + LSA secrets) using extracted bootkey."
"0887e6569e317e40","-ntds <ntds.dit_path>","NTDS.DIT FILE EXTRACTION MODE - Parses an NTDS.dit database file (Active Directory database) that was previously copied from a domain controller. REQUIRES: Pre-extracted NTDS.dit file (via ntdsutil, vssadmin, or volume shadow copy), SYSTEM hive for bootkey (to decrypt NTDS.dit). WORKFLOW: 1) Create VSS snapshot on DC: vssadmin create shadow /for=C:\, 2) Copy NTDS.dit from snapshot: copy \\?\GLOBALROOT\Device\HarddiskVolumeShadowCopy1\Windows\NTDS\ntds.dit C:\temp\ntds.dit, 3) Copy SYSTEM hive: reg save HKLM\SYSTEM C:\temp\system.hive, 4) Transfer both files to Kali, 5) Parse with secretsdump: impacket-secretsdump -ntds ntds.dit -system system.hive LOCAL. OUTPUT: ALL domain credentials (same as -just-dc DCSync). ADVANTAGE: Works offline (no network interaction, no detection), can be done from backup files. DISADVANTAGE: Requires local admin on DC (higher privilege than DCSync's domain admin), generates more forensic artifacts (file copy, VSS creation), slower workflow. WHEN TO USE: DCSync blocked/detected, have local admin on DC but not domain admin, or analyzing backup files offline."
"5b36e06ed50027cd","-hashes :<NTLM_HASH>","PASS-THE-HASH AUTHENTICATION - Authenticate using NTLM hash instead of plaintext password. FORMAT: -hashes LM:NTLM or -hashes :NTLM (LM can be omitted, use empty value before colon). NTLM HASH: 32 hexadecimal characters (MD4 hash of password). ADVANTAGE: No need to crack password - use hash directly from previous dumps (LSASS, SAM, DCSync output). OSCP WORKFLOW: 1) Obtain admin NTLM hash via LSASS dump or secretsdump -sam on compromised machine, 2) Use hash for DCSync without knowing plaintext password: impacket-secretsdump -hashes :2892d26cdf84d7a70e2eb3b9f05c425e corp.com/administrator@192.168.50.70. TIME SAVER: Skips password cracking phase (can take hours/days if complex password). DETECTION: Identical to password auth (NTLM challenge-response), no special indicators. OPSEC: Cleaner than plaintext password in command history (less sensitive if logs captured)."
"9291f7eb4af0764f","-dc-ip","Domain controller IP"
"54ec8bc2c559acfe","-usersfile","File containing usernames"
"3944bc8b82f637f2","-request","Request TGT for users"
"777c6bae1814a0f8","-outputfile","Save hashes to file"
"cf472dcbcc6d651d","/format:hashcat","Output format for hashcat"
"d1c79a500ee270e5","/outfile","Output file for hashes"
"511d4296a767b98b","/user:<USER>","Target specific user"
"96b1009a2503a65e","qc","Query configuration - displays service configuration details"
"1e0b9ec91a5d5610","--version","Display version information and compilation details"
"86796b0a3b804661","strings","Default behavior extracts sequences of 4+ printable characters"
"7ffcbfbf5cf73e49","?","PowerShell alias for Where-Object to filter results"
"72a7051a9826cf83","-match","Regular expression matching operator"
"08a8a15e76e3dfc7","tee -a","Append to file while also displaying output. -a flag appends instead of overwriting. Alternative to redirect (>>) but works with sudo piping"
"9d87a36df3fde8d1","type command","Built-in CMD command that outputs file contents to STDOUT. NO FLAGS - simple syntax: type <file>. WHY USE: (1) Universal - works on all Windows versions (XP through 11), (2) No dependencies - always available even in restricted shells, (3) Fast - reads entire file instantly, (4) Pipeable - can combine with 'findstr' for grep-like functionality: type file.txt | findstr 'password'. LIMITATIONS: No pagination (entire file dumps at once), no line numbers, no syntax highlighting."
"84857049e920d30e","Path handling","Windows paths use backslashes (\) which are escape characters in some shells. SOLUTIONS: (1) Double backslashes in scripts: type C:\\Users\\admin\\file.txt, (2) Use forward slashes (Windows accepts): type C:/Users/admin/file.txt, (3) Use quotes for paths with spaces: type ""C:\Program Files\app\config.ini"", (4) Tab completion in interactive shells. RELATIVE PATHS: .\file.txt (current directory), ..\file.txt (parent directory), ..\..\Windows\System32\drivers\etc\hosts (traverse up)."
"0ac90d90e75fd2e6","Redirection","Redirect output to file: type input.txt > output.txt (overwrites), type input.txt >> output.txt (appends). WHY: Extract specific data for exfiltration, combine multiple files, save output for offline analysis. EXAM EXAMPLE: type C:\Users\*\Desktop\*.txt > C:\temp\all_flags.txt (combine all potential flags). Pipe to findstr: type web.config | findstr 'connectionString' (extract database credentials)."
"505ae6a665dbb169","Error handling","Common errors: (1) 'The system cannot find the file specified' - file doesn't exist or wrong path, (2) 'Access is denied' - no read permissions, (3) 'The process cannot access the file because it is being used by another process' - file locked. WORKAROUNDS: Copy file first: copy locked.txt C:\temp\unlocked.txt, then read copy. Check existence: if exist C:\file.txt (type C:\file.txt) else (echo Not found)."
"137a453e9b414e2c","Get-Content cmdlet","PowerShell cmdlet (not CMD command) for reading files. ALIAS: cat, gc, type (in PowerShell context). WHY BETTER THAN CMD 'type': (1) Encoding support (-Encoding UTF8, Unicode, ASCII), (2) Filtering (-Filter), (3) Tail functionality (-Tail 10), (4) Line-based processing (returns array of lines), (5) Pipeline integration (object-oriented). TRADEOFF: Slower than CMD 'type', requires PowerShell environment."
"c0b8e6e740eaebf0","-Encoding flag","Specify file encoding. OPTIONS: ASCII, UTF8, UTF7, UTF32, Unicode (UTF-16LE), BigEndianUnicode (UTF-16BE), Default, Byte. SYNTAX: Get-Content file.txt -Encoding UTF8. WHY IMPORTANT: Windows files can be UTF-16 (default for Notepad), UTF-8 (web configs), or ASCII (logs). Wrong encoding shows garbage characters or missing content. DEFAULT: UTF-8 in PowerShell 6+, Unicode in PowerShell 5.1. EXAM TIP: If file appears empty or corrupted with 'type', try Get-Content with -Encoding Unicode."
"ec5426e2919b99a1","-Tail flag","Read last N lines of file (like Linux 'tail -n'). SYNTAX: Get-Content file.txt -Tail 10 (last 10 lines). WHY USEFUL: (1) Large log files - don't dump entire file, (2) Find recent entries (most recent at bottom), (3) Monitor growing files with -Wait. EXAM EXAMPLE: Get-Content C:\inetpub\logs\*.log -Tail 50 | findstr 'admin' (find recent admin activity in IIS logs)."
"0e68ab1d37a9229f","-Wait flag","Monitor file for new content (like 'tail -f'). SYNTAX: Get-Content file.log -Wait -Tail 10. BEHAVIOR: Displays last 10 lines, then blocks and shows new lines as appended. CTRL+C to exit. WHY USEFUL: Monitor application logs in real-time, debug running processes, watch for trigger events. EXAM SCENARIO: Monitor reverse shell payload execution: Get-Content C:\temp\shell.log -Wait (see errors if payload fails)."
"492f5896ea169552","-Raw flag","Read entire file as single string (not array of lines). SYNTAX: Get-Content file.txt -Raw. WHY USEFUL: (1) Performance - faster for large files, (2) Preserve exact formatting (no line splitting), (3) String manipulation (regex across multiple lines), (4) Base64 encoding: [Convert]::ToBase64String([IO.File]::ReadAllBytes('file.exe')). EXAM EXAMPLE: Read multi-line certificate: Get-Content cert.pem -Raw (preserves -----BEGIN CERTIFICATE----- formatting)."
"327749ce83529dd2","s///g","Substitute - g means global (all occurrences)"
"dc7bf0efe544aa04","NR","Current line number"
"5eeeb7c6a19e4565","NF","Number of fields in current line"
"703755ec3af852bb","-s","Squeeze repeats - replace multiple occurrences with single"
"1d2f8f2c061312c0","-w 0","Disable line wrapping (single line output)"
"8e17e60a107655ee","-A x","Display offsets in hex"
"5cc24192417134f9","-t x1","Display as hex bytes"
"ee037ede9d5c080f","-y","Automatic yes to prompts"
"f37be907078bc191","--no-install-recommends","Don't install recommended packages (minimal install)"
"5fcc84c820d6d1fe","--user","Install to user directory (no sudo required)"
"31970d0c109fbfc4","--upgrade","Upgrade if already installed"
"6da8703211d78efc","-g","Install globally (requires sudo)"
"afb167df933bd293","--save","Add to package.json dependencies"
"2c18e74acc241b2a","--save-dev","Add to devDependencies"
"34a639c5528cae0b","--user-install","Install to user directory"
"50954ce04ff0a5af","--no-document","Skip documentation generation (faster)"
"a6108b5e67a18eda","+short","Short output - just the answer"
"ffbdbdcf4686ae3d","+noall +answer","Clean output with only answer section"
"00a64f08192cedbe","@<server>","Query specific DNS server"
"9a3344ba4d780500","-O","Save with remote filename"
"c6f5b03841fa1ad0","-nc","No clobber - don't overwrite existing files"
"400a8a104ba95204","--no-check-certificate","Ignore SSL errors"
"9f94a0db36bd7063","-z","Zero-I/O mode (port scanning)"
"ff744f280a9513a4","--delete","Delete files in destination not in source"
"9cacac2240df43b9","-sU","UDP scan - scans UDP ports instead of TCP (slower than TCP scans)"
"8ffa7e02016cd59d","+x","Add execute permission for user, group, and others"
"e6925ca18708ac6d","755","rwxr-xr-x - Owner: read/write/execute, Others: read/execute"
"26c8d0625d2625da","644","rw-r--r-- - Owner: read/write, Others: read-only"
"1ab278fe3b693ec8","777","rwxrwxrwx - Full permissions for all (dangerous)"
"2a0154d7fc9ddbce","+w","Add write permission for user, group, and others"
"6bc8e5bd9b05a608","-name","Case-sensitive filename match"
"5c4cbb9564b66e1c","-iname","Case-insensitive filename match"
"17f07e8b39bf3044","-type d","Find only directories"
"0b1f3559aec0edc8","-perm","Find files with specific permissions"
"53c75cd54136b354","-user","Find files owned by user"
"2a56dc89cd4f2a7d","-size","Find files by size"
"01c24d3eb285e8a4","-E","Extended regex"
"9e56e0da4d9a9bf7","-9","Maximum compression"
"455586e28fa8d576","-1","Fastest compression"
"dce0390e3dfead2c","--connect-timeout 5","Maximum time to establish connection"
"6b98a1f048c21786","--max-time 10","Maximum total time for operation"
"1256ff457fbb85ea","-c 4","Send 4 ICMP echo requests"
"af7969494904c08e","--level=1","Test thoroughness (1-5, default 1)"
"bda169e3660c73a8","--risk=1","Risk of interference (1-3, default 1)"
"ac4efee2bf8f0c37","-H ldap://<TARGET>","LDAP URI to connect"
"edc5ccc835d93c7a","-b """"","Base DN (empty for rootDSE query)"
"6656d9bd775f88ba","-s base","Search scope: base object only"
"0de17f3cd9b701b8","-urlcache","Use URL cache function - actually just downloads the file, the 'cache' aspect is a quirk of certutil's certificate management tool being repurposed for downloads"
"f69d5476de892c22","-split","Alternative to -urlcache -f for large files - splits download into chunks. Useful for files >10MB"
"2c984ed29eadbfee","http://","Supports both HTTP and HTTPS URLs - for HTTPS without valid cert, it may still work (less strict than PowerShell)"
"2ae19fcad02c5c12","Invoke-WebRequest","PowerShell cmdlet for HTTP operations - more feature-rich than WebClient but slower for simple downloads"
"800d40426d73a126","-UseBasicParsing","Skip IE engine dependency - use if Invoke-WebRequest fails with 'Internet Explorer not initialized' error"
