"command_id","prerequisite_command_id"
"ps-get-current-domain","evil-winrm-shell"
"hashcat-test-rules","create-policy-rules"
"john-test-rules","rule-append-digit"
"john-test-rules","rule-prepend-year"
"john-test-rules","rule-capitalize-append"
"john-test-rules","create-policy-rules"
"hashcat-rockyou-rules","hashcat-best64-rules"
"create-policy-rules","net-accounts-domain"
"hashcat-ntlm-crack","secretsdump-hashes"
"hashcat-ntlm-crack","ad-sam-dump-reg-save"
"hashcat-rule-attack","hashcat-test-rules"
"hashcat-keepass-crack","keepass2john-extract"
"hashcat-ssh-key-crack","ssh2john-extract"
"hashcat-show-cracked","hashcat-md5-crack"
"hashcat-show-cracked","hashcat-ntlm-crack"
"hashcat-crack-asrep","impacket-getnpusers-asreproast"
"hashcat-crack-asrep","rubeus-asreproast"
"hashcat-crack-tgsrep","impacket-getuserspns-kerberoast"
"hashcat-crack-tgsrep","rubeus-kerberoast"
"hydra-ssh-single-user","nmap-service-scan"
"hydra-ssh-user-list","nmap-service-scan"
"hydra-ssh-user-list","kerbrute-userenum-ad"
"hydra-rdp-spray","nmap-service-scan"
"hydra-rdp-spray","kerbrute-userenum-ad"
"hydra-http-post-form","nmap-service-scan"
"hydra-ftp-attack","nmap-service-scan"
"hydra-smb-attack","nmap-service-scan"
"hydra-custom-port","nmap-service-scan"
"hydra-custom-port","nmap-quick-scan"
"hydra-combo-attack","nmap-service-scan"
"post-vss-ntds-exfil-combo","ad-vshadow-create-shadow"
"post-vss-ntds-exfil-combo","post-nc-receive-zip-secretsdump"
"wget-download","python-http-server"
"certutil-download","python-http-server"
"powershell-download","python-http-server"
"php-download","python-http-server"
"docker-run-pid","check-docker-group"
"docker-run-pid","list-docker-images"
"cat-mnt-etc","docker-mount-escape"
"docker-run-pid-2","check-docker-group"
"docker-run-pid-2","list-docker-images"
"docker-run-v","check-docker-group"
"docker-run-v","list-docker-images"
"getcap-bin-systemctl","linux-capabilities"
"test-sudo-without","linux-sudo-list"
"edit-etc-shadow","echo-newroot-salt"
"use-cp-command","linux-sudo-list"
"base64-decode-file","base64-file-transfer"
"searchsploit-linux-capability","getcap-bin-systemctl"
"searchsploit-linux-capability","linux-capabilities"
"linux-privesc-linpeas","python-http-server"
"linux-privesc-linenum","nc-reverse-shell"
"linux-privesc-linenum","bash-reverse-shell"
"linux-nfs-no-root-squash","smb-enum"
"linux-nfs-no-root-squash","nmap-service-scan"
"linux-ld-preload","linux-sudo-list"
"linux-path-hijack","linux-suid-find"
"linux-mysql-udf","nmap-service-scan"
"linux-linpeas","python-http-server"
"linux-pspy","python-http-server"
"linux-pspy","wget-download"
"linux-mysql-root","nmap-service-scan"
"linux-nfs-root-squash","smb-enum"
"linux-nfs-root-squash","nmap-service-scan"
"linux-systemctl-privesc","linux-suid-find"
"linux-wildcard-injection","linux-cron-enum"
"linux-unix-privesc-check-nc","nc-file-transfer"
"linux-linpeas-http","python-http-server"
"linux-linpeas-nc","nc-file-transfer"
"linux-linpeas-save-output","linux-linpeas-http"
"linux-parse-linpeas-writable","linux-linpeas-save-output"
"invoke-mimikatz-remote","python-http-server"
"invoke-mimikatz-remote","test-wsman-connectivity"
"file-transfer-wget","file-transfer-python-http"
"file-transfer-curl","file-transfer-python-http"
"file-transfer-powershell-download","file-transfer-python-http"
"exfil-powershell-upload","exfil-uploadserver"
"exfil-curl-upload","exfil-uploadserver"
"win-whoami-groups","win-whoami-basic"
"win-whoami-priv","win-whoami-basic"
"ps-get-localgroupmember","ps-get-localgroup"
"win-net-user-detail","win-net-user-local"
"win-net-localgroup-members","win-net-localgroup"
"win-route-print","win-ipconfig-all"
"win-netstat-ano","win-ipconfig-all"
"ps-search-kdbx","ps-get-installed-apps"
"ps-search-config-files","ps-get-installed-apps"
"ps-search-user-docs","ps-get-localuser"
"ps-get-psreadline-path","ps-get-history"
"ps-read-psreadline","ps-get-psreadline-path"
"ps-search-transcripts","ps-read-psreadline"
"win-privesc-winpeas","certutil-download"
"win-privesc-powerup","evil-winrm-shell"
"win-privesc-powerup","download-powerup"
"win-potato-exploits","windows-whoami-privs"
"win-sam-system-backup","evil-winrm-shell"
"win-group-membership","evil-winrm-shell"
"windows-unquoted-service","win-systeminfo"
"windows-alwaysinstallelevated","get-itemproperty"
"windows-alwaysinstallelevated","evil-winrm-shell"
"windows-scheduled-tasks","win-systeminfo"
"windows-potato-attacks","win-systeminfo"
"windows-potato-attacks","whoami-priv"
"windows-sam-system-backup","win-systeminfo"
"windows-stored-credentials","whoami-all"
"windows-autologon","get-itemproperty"
"windows-autologon","evil-winrm-shell"
"windows-pass-the-hash","crackmapexec-sam-dump"
"windows-pass-the-hash","impacket-secretsdump"
"get-aduser","import-module-activedirectory"
"get-adgroup","import-module-activedirectory"
"get-adgroupmember","import-module-activedirectory"
"get-adcomputer","import-module-activedirectory"
"get-itemproperty","evil-winrm-shell"
"get-scheduledtask","evil-winrm-shell"
"get-gpppassword","import-powersploit"
"get-unquotedservice","import-powerup"
"get-modifiableservicefile","import-powerup"
"get-service","evil-winrm-shell"
"john-crack-bcrypt","sqlmap-dump-table"
"su-user-switch","john-crack-bcrypt"
"su-user-switch","sqlmap-dump-table"
"linux-gtfobins-suid-filter","linux-quick-privesc-enum"
"linux-suid-auto-research","find-suid-binaries"
"linux-cron-hijack-suid","linux-cron-enum"
"linux-cron-hijack-revshell","linux-cron-enum"
"linux-suid-find-shell","linux-gtfobins-suid-filter"
"ps-search-desktop-flags","evil-winrm-shell"
"ps-search-app-config","ps-enum-installed-apps"
"win-icacls-binary-check","win-service-binary-enum-running"
"win-service-startmode-check","win-service-binary-enum-running"
"win-net-stop-service","win-service-binary-replace"
"win-net-start-service","win-net-stop-service"
"win-shutdown-reboot","win-service-binary-replace"
"win-shutdown-reboot","win-service-startmode-check"
"win-shutdown-reboot","win-whoami-shutdown-priv"
"win-service-binary-replace","win-icacls-binary-check"
"win-service-binary-replace","win-cross-compile-adduser"
"win-localgroup-admins-check","win-shutdown-reboot"
"win-powerup-modifiable-service","win-powerup-import"
"win-powerup-install-service-binary","win-powerup-modifiable-service"
"win-transfer-iwr","win-cross-compile-adduser"
"analyze-sudoers","check-sudo-privs"
"gtfobins-sudo-lookup","analyze-sudoers"
"execute-sudo-exploit","gtfobins-sudo-lookup"
"sudo-exploit-find","gtfobins-sudo-lookup"
"sudo-exploit-vim","gtfobins-sudo-lookup"
"sudo-exploit-python","gtfobins-sudo-lookup"
"sudo-exploit-less","gtfobins-sudo-lookup"
"sudo-exploit-nmap","gtfobins-sudo-lookup"
"verify-root-access-sudo","execute-sudo-exploit"
"ps-search-app-config","ps-get-installed-apps"
"ps-search-webconfig","ps-get-process"
"ps-search-webconfig","ps-get-installed-apps"
"ps-search-password-patterns","ps-search-user-docs"
"check-docker-socket","check-docker-group"
"list-docker-images","check-docker-socket"
"docker-mount-escape","check-docker-socket"
"docker-mount-escape","list-docker-images"
"verify-docker-root","docker-mount-escape"
"docker-privileged-escape","list-docker-images"
"docker-socket-mount","list-docker-images"
"docker-pull-alpine","check-docker-socket"
"filter-suid-binaries","find-suid-binaries"
"gtfobins-suid-lookup","filter-suid-binaries"
"execute-suid-exploit-find","gtfobins-suid-lookup"
"verify-root-access-suid","execute-suid-exploit-find"
"pypykatz-parse-lsass","procdump-lsass-dump"
"pypykatz-parse-lsass","comsvcs-lsass-dump"
"postgres-direct-connect","sqli-union-postgresql-info"
"postgres-privilege-check","postgres-direct-connect"
"postgres-file-enum","postgres-direct-connect"
"postgres-file-enum","postgres-privilege-check"
"postgres-file-read","postgres-direct-connect"
"postgres-file-read","postgres-privilege-check"
"postgres-file-read","postgres-file-enum"
"bash-reverse-shell","nc-listener-setup"
"python-shell-upgrade","bash-reverse-shell"
"stty-shell-stabilization","python-shell-upgrade"
"netcat-reverse-shell-mkfifo","nc-listener-setup"
"python-reverse-shell","nc-listener-setup"
"perl-reverse-shell","nc-listener-setup"
"php-reverse-shell","nc-listener-setup"
"revshells-payload-generate","nc-listener"
"linux-enumerate-home-directory","linux-enumerate-users"
"linux-enumerate-home-directory","pty-spawn-script"
"overpass-net-use-trigger","overpass-mimikatz-pth"
"msf-db-status","msf-db-init"
"msf-db-status","msf-console-start"
"msf-console-start","msf-db-init"
"msf-workspace-list","msf-db-status"
"msf-workspace-create","msf-db-status"
"msf-workspace-switch","msf-workspace-create"
"msf-search-exploit","msf-console-start"
"msf-use-module","msf-search-exploit"
"msf-info-module","msf-search-exploit"
"msf-show-options","msf-use-module"
"msf-set-option","msf-use-module"
"msf-set-option","msf-show-options"
"msf-setg-option","msf-console-start"
"msf-back","msf-use-module"
"msf-db-import","msf-workspace-create"
"msf-db-nmap","msf-workspace-create"
"msf-db-nmap","msf-db-status"
"msf-db-hosts","msf-db-import"
"msf-db-services","msf-db-import"
"msf-db-vulns","msf-db-import"
"msf-db-creds","msf-db-status"
"evil-winrm-upload-file","evil-winrm-shell"
"evil-winrm-download-file","evil-winrm-shell"
"msf-show-payloads","msf-use-module"
"msf-set-payload","msf-use-module"
"msf-set-payload","msf-show-payloads"
"msf-set-lhost","msf-set-payload"
"msf-set-lport","msf-set-payload"
"msf-show-targets","msf-use-module"
"msf-set-target","msf-show-targets"
"msf-exploit-check","msf-use-module"
"msf-exploit-check","msf-set-option"
"msf-exploit-run","msf-use-module"
"msf-exploit-run","msf-set-payload"
"msf-exploit-run","msf-set-lhost"
"msf-exploit-run","msf-set-lport"
"msf-session-interact","msf-sessions-list"
"msf-session-background","msf-session-interact"
"nc-reverse-shell","nc-listener"
"nc-reverse-shell","nc-listener-setup"
"powershell-reverse-shell","nc-listener"
"powershell-reverse-shell","nc-listener-setup"
"searchsploit","nmap-service-scan"
"searchsploit","whatweb-enum"
"web-shell-php","gobuster-dir-common"
"msfvenom-linux-x86-shell","nc-listener"
"msfvenom-linux-x64-meterpreter","msf-handler-setup"
"msfvenom-windows-shell-tcp","nc-listener"
"msfvenom-windows-meterpreter-tcp","msf-handler-setup"
"curl-web-server-verify","nmap-service-scan"
"msfvenom-windows-x64-meterpreter-tcp","msf-handler-setup"
"msfvenom-linux-x64-meterpreter-non-staged","msf-handler-setup"
"msfvenom-jsp-war-shell","nc-listener"
"rubeus-ptt","mimikatz-sekurlsa-tickets-export"
"rubeus-ptt","passticket-mimikatz-export"
"msf-show-auxiliary","msf-console-start"
"msf-search-auxiliary","msf-console-start"
"msf-aux-smb-version","msf-use-module"
"msf-aux-smb-enumshares","msf-use-module"
"msf-aux-ssh-login","msf-use-module"
"msf-aux-mysql-login","msf-use-module"
"msf-aux-ftp-version","msf-use-module"
"msf-aux-ftp-anonymous","msf-use-module"
"msf-aux-portscan-tcp","msf-use-module"
"msf-aux-http-dir-scanner","msf-use-module"
"meterpreter-migrate","meterpreter-ps"
"meterpreter-download","meterpreter-ls"
"meterpreter-hashdump","meterpreter-getsystem"
"meterpreter-kiwi-creds-all","meterpreter-load-kiwi"
