"id","name","category","command","description","subcategory","filled_example","notes","oscp_relevance","examples","educational","related_commands","troubleshooting","flag_explanations","prerequisites","alternatives","next_steps"
"smb-smbclient-connect","Interactive SMB Client Connection","recon","smbclient //<TARGET>/<SHARE> -U <USERNAME>","Connect interactively to an SMB share for manual file browsing, downloading, and uploading","","smbclient //192.168.45.100/Users -U administrator","Interactive mode allows manual exploration which may reveal files missed by automated tools.

Common useful commands:
ls, cd, get, put, mget, mput, recurse, prompt.

Time estimate:
5-15 minutes for manual exploration.

OSCP tips:
(1) Check for readable files in Users directories - look for Desktop, Documents, Downloads.

(2) Check for writable directories - potential for malware upload.

(3) Look for configuration files, scripts, passwords in plaintext.

(4) For null session:
smbclient //<TARGET>/<SHARE> -N.

(5) For scripting:
smbclient //<TARGET>/<SHARE> -U <USER>%<PASS> -c 'ls;get file.txt'","high","","","","{""NT_STATUS_ACCESS_DENIED"": ""No access to this share. Try different shares from enumeration or use guest: -U guest%guest"", ""NT_STATUS_BAD_NETWORK_NAME"": ""Share name incorrect. List shares first: smbclient -N -L //<TARGET>"", ""Connection failed"": ""Port 445 blocked. Try legacy: smbclient //<TARGET>/<SHARE> -U <USER> -p 139"", ""Cannot access subdirectories"": ""Use 'cd <DIR>' to change directories. Use 'recurse ON' + 'prompt OFF' + 'mget *' for bulk download""}","{""//"": ""UNC path format for SMB shares: //<SERVER>/<SHARE>"", ""-U"": ""Specify username for authentication (will prompt for password, or use %<PASS> inline for scripting)""}","[""smb-null-session-shares"", ""smb-crackmapexec-shares""]","[""smb-mount-share"", ""smb-smbmap-recursive""]",""
"smb-smbmap-recursive","Recursive SMB Share Content Enumeration","recon","smbmap -H <TARGET> -u <USERNAME> -p <PASSWORD> -R <SHARE>","Recursively list all files and directories within an SMB share with detailed permissions","","smbmap -H 192.168.45.100 -u administrator -p password123 -R Users","smbmap shows file sizes and permissions which helps prioritize targets.

Use -A flag with patterns to search for specific file types.

Time estimate:
2-5 minutes depending on share size.

OSCP tips:
(1) Look for READ/WRITE directories - potential pivot points.

(2) Common sensitive files:
passwords.txt, users.txt, config.xml, web.config, *.ps1, *.kdbx (KeePass), id_rsa (SSH keys).

(3) Use download:
smbmap -H <TARGET> -u <USER> -p <PASS> --download '<SHARE>\full\path\file.txt'.

(4) For null session:
smbmap -H <TARGET> -u '' -p ''.

(5) Recursively list ALL shares:
smbmap -H <TARGET> -u <USER> -p <PASS> -R (no share specified)","high","","","","{""Access Denied"": ""Credentials invalid or insufficient permissions. Verify with: smbmap -H <TARGET> -u <USER> -p <PASS> (no -R flag)"", ""Too much output"": ""Pipe to file: smbmap ... > smbmap_output.txt, or target specific share: -R <SHARE>"", ""Slow enumeration"": ""Large shares take time. Cancel and use specific share: -R <SHARE> instead of all shares"", ""Cannot find sensitive files"": ""Use search pattern: smbmap -H <TARGET> -u <USER> -p <PASS> -R <SHARE> -A '.txt|.xml|.config|.ps1'""}","{""-H"": ""Target hostname or IP address"", ""-u"": ""Username for SMB authentication"", ""-p"": ""Password for SMB authentication"", ""-R"": ""Recursively list files and directories within specified share (omit share name to recursively list ALL accessible shares)""}","[""smb-crackmapexec-shares""]","[""smb-smbclient-connect"", ""smb-mount-share""]",""
"smb-mount-share","Mount SMB Share Locally","recon","sudo mount -t cifs -o username=<USERNAME>,password=<PASSWORD> //<TARGET>/<SHARE> <MOUNT_POINT>","Mount an SMB share to local filesystem for direct file access and manipulation using standard Linux tools","","sudo mount -t cifs -o username=administrator,password=password123 //192.168.45.100/Users /mnt/smb","Mounting allows using standard Linux tools (grep, find, cat, cp) instead of SMB-specific commands.

Much faster for bulk file operations.

Time estimate:
1 minute to mount.

OSCP tips:
(1) Always create mount point first:
sudo mkdir -p /mnt/smb.

(2) For null session:
username=guest,password='' or username='',password=''.

(3) For guest:
username=guest,password=guest.

(4) Unmount when done:
sudo umount <MOUNT_POINT>.

(5) Check what's mounted:
df -h | grep cifs.

(6) Force unmount if stuck:
sudo umount -f <MOUNT_POINT>.

(7) Use find for sensitive files:
find /mnt/smb -iname '*password*' -o -iname '*.config' -o -iname 'id_rsa'","high","","","","{""Permission denied"": ""Invalid credentials or share not accessible. Verify access first: smbmap -H <TARGET> -u <USER> -p <PASS>"", ""No such file or directory (mount point)"": ""Create mount point first: sudo mkdir -p <MOUNT_POINT>"", ""No such file or directory (share)"": ""Share name incorrect. List shares: smbclient -L //<TARGET> -U <USER>"", ""Host is down"": ""Port 445 blocked or host unreachable. Verify connectivity: sudo nmap -p 445 -Pn <TARGET>"", ""mount.cifs not found"": ""Install cifs-utils: sudo apt install cifs-utils"", ""Password visible in mount output"": ""Use credentials file: Create /tmp/smbcreds with 'username=<USER>\\npassword=<PASS>', then mount -o credentials=/tmp/smbcreds""}","{""sudo"": ""Required - mounting filesystems requires root privileges"", ""-t cifs"": ""Filesystem type - CIFS (Common Internet File System, SMB protocol implementation)"", ""-o"": ""Mount options - comma-separated: username, password, and other options"", ""username="": ""SMB authentication username"", ""password="": ""SMB authentication password (alternative: use file=<CREDFILE> for security)""}","","[""smb-smbclient-connect"", ""smb-smbmap-recursive""]",""
"curl-header-enum","HTTP Header Enumeration","recon","curl -I -X <METHOD> http://<TARGET>:<PORT>/<PATH>","Enumerate HTTP response headers to identify server technology, versions, and potential security misconfigurations","","curl -I -X GET http://192.168.45.100:80//","Headers often reveal:
Server version (Apache/2.4.41), Backend technology (X-Powered-By:
PHP/7.4.3, ASP.NET), Framework (X-AspNet-Version), WAF presence (X-Sucuri-ID).

Time estimate:
10 seconds.

OSCP tips:
(1) Look for outdated versions - searchsploit material.

(2) X-Powered-By reveals backend language - useful for payload selection.

(3) Test OPTIONS method:
curl -I -X OPTIONS http://<TARGET> - may reveal PUT/DELETE allowed.

(4) Missing security headers = potential vulnerabilities:
X-Frame-Options, X-XSS-Protection, Content-Security-Policy.

(5) For HTTPS:
curl -I -k https://<TARGET> (bypass cert verification).

(6) Verbose for debugging:
curl -I -v http://<TARGET>","high","","","","{""Connection refused"": ""Port incorrect or service down. Verify with: sudo nmap -p <PORT> -Pn <TARGET>"", ""No Server header"": ""Header may be suppressed for security. Try: curl -I -X OPTIONS to see allowed methods"", ""403 Forbidden on /"": ""Try different paths: /admin, /api, /login, or enumerate with gobuster"", ""SSL error for https"": ""Self-signed cert. Use: curl -I -k https://<TARGET> (-k to ignore cert errors)""}","{""-I"": ""Fetch headers only (HEAD request equivalent) - faster than full GET request"", ""-X"": ""Specify HTTP method (GET, POST, OPTIONS, PUT, DELETE, TRACE) - useful for testing allowed methods""}","","[""whatweb-technology-detection"", ""nmap-service-scan""]","[""whatweb-technology-detection""]"
"whatweb-technology-detection","Web Technology Fingerprinting","recon","whatweb -v -a 3 http://<TARGET>:<PORT>","Identify web technologies, CMS platforms, frameworks, JavaScript libraries, server info, and versions","","whatweb -v -a 3 http://192.168.45.100:80","whatweb identifies:
CMS (WordPress, Joomla, Drupal), Web servers (Apache, nginx, IIS), Languages (PHP, ASP.NET, Python), Frameworks (Laravel, Django, Rails), JavaScript libraries (jQuery, Bootstrap), WAFs, Analytics.

Time estimate:
30-60 seconds.

OSCP tips:
(1) Prioritize CMS detection - WordPress/Joomla often have known vulns.

(2) Version numbers critical - check searchsploit immediately.

(3) For multiple URLs:
whatweb -i urls.txt.

(4) Check both HTTP and HTTPS:
whatweb http://<TARGET> https://<TARGET>.

(5) Look for development/staging indicators:
X-Debug, X-Error, verbose error messages.

(6) Admin panels:
/wp-admin (WordPress), /administrator (Joomla), /admin","high","","","","{""Connection timeout"": ""Increase timeout: whatweb -v -a 3 --wait 5 http://<TARGET> (5 second timeout)"", ""Too much output"": ""Reduce aggression: whatweb -a 1 http://<TARGET> (stealthy mode)"", ""No technologies detected"": ""Increase aggression: whatweb -v -a 4 http://<TARGET> or try --force-text for unusual responses"", ""SSL certificate error"": ""Use -k flag: whatweb -v -a 3 https://<TARGET> (bypass cert verification)""}","{""-v"": ""Verbose mode - displays detailed information about detected technologies"", ""-a"": ""Aggression level (1-4): 1=stealthy, 3=aggressive (default recommended), 4=heavy (may trigger IDS)"", ""3"": ""Aggression level 3 - good balance of thoroughness and stealth for OSCP labs""}","","[""curl-header-enum"", ""nmap-service-scan""]",""
"vhost-fuzzing-gobuster","Virtual Host Discovery with Gobuster","recon","gobuster vhost -u http://<TARGET> -w <WORDLIST> -t <THREADS> --append-domain","Discover virtual hosts (subdomains) by fuzzing the Host header to find hidden web applications on the same IP","","gobuster vhost -u http://example.com -w /usr/share/seclists/Discovery/DNS/subdomains-top1million-5000.txt -t 50 --append-domain","Virtual hosts allow multiple websites on one IP address by routing based on Host header.

Often reveals development/staging environments with weaker security.

Time estimate:
2-5 minutes depending on wordlist size.

OSCP tips:
(1) Always try vhost fuzzing on web servers - hidden apps common in CTFs.

(2) Use quality wordlists:
/usr/share/seclists/Discovery/DNS/subdomains-top1million-20000.txt.

(3) After finding vhosts, add to /etc/hosts for browsing:
<IP> subdomain.domain.com.

(4) Common vhosts in OSCP:
dev, staging, admin, api, internal, vpn, mail, blog.

(5) Compare response sizes - identical sizes across all attempts = wildcard response (filter with --exclude-length).

(6) For IP-based scanning:
gobuster vhost -u http://<IP> -w <WORDLIST> --domain target.com --append-domain","high","","","","{""All entries return same size"": ""Server returns same response for all hosts. Filter by size: --exclude-length <SIZE> or try different status codes"", ""No results found"": ""Try common subdomains manually: dev, staging, test, admin, api, mobile, internal"", ""Connection errors"": ""Target may have rate limiting. Reduce threads: -t 10 or add delay: --delay 100ms"", ""Need to scan IP address"": ""Use: gobuster vhost -u http://<IP> -w <WORDLIST> --domain <DOMAIN> --append-domain""}","{""vhost"": ""Virtual host enumeration mode - fuzzes Host header instead of URL path"", ""-u"": ""Target URL (must include http:// or https://)"", ""-w"": ""Wordlist for fuzzing subdomain names"", ""-t"": ""Number of concurrent threads (default 10, increase for faster scanning)"", ""--append-domain"": ""Append base domain to wordlist entries (e.g., 'dev' becomes 'dev.example.com')""}","[""nmap-service-scan""]","[""ffuf-vhost-fuzz""]","[""gobuster-dir"", ""whatweb-technology-detection"", ""nikto-scan""]"
"dns-zone-transfer-dig","DNS Zone Transfer Attempt","recon","dig axfr @<NAMESERVER> <DOMAIN>","Attempt DNS zone transfer (AXFR) to obtain complete DNS records including subdomains, IPs, and mail servers","","dig axfr @192.168.45.100 example.com","Zone transfers should be restricted to authorized secondary nameservers only, but misconfigurations still exist.

Successful transfer provides complete DNS records - massive information disclosure.

Time estimate:
30 seconds.

OSCP tips:
(1) Always try zone transfer first - when it works, it's instant enumeration.

(2) Find nameservers:
dig NS <DOMAIN> then try AXFR on each.

(3) Parse output for subdomains:
dig axfr @<NS> <DOMAIN> | grep -E '^[a-zA-Z0-9]' | awk '{print $1}'.

(4) Look for:
internal hosts, dev/staging servers, admin interfaces, mail servers, database servers.

(5) If transfer fails (common), fallback to:
gobuster dns, dnsrecon -t brt, fierce --domain <DOMAIN>.

(6) UDP port 53 required - check firewall:
sudo nmap -p 53 -sU -Pn <NS>","medium","","","","{""Transfer failed"": ""Zone transfers disabled (proper security). Use subdomain enumeration instead: gobuster dns -d <DOMAIN> -w /usr/share/seclists/Discovery/DNS/subdomains-top1million-5000.txt"", ""Connection timeout"": ""Firewall blocking port 53 or nameserver down. Verify: sudo nmap -p 53 -sU -Pn <NAMESERVER>"", ""REFUSED"": ""Nameserver explicitly denies transfer. Try other discovered nameservers from: dig NS <DOMAIN>"", ""Don't know nameserver"": ""Find nameservers first: dig NS <DOMAIN> or host -t ns <DOMAIN>""}","{""axfr"": ""Zone transfer query type - requests complete copy of zone data (AXFR = Authoritative Transfer Full)"", ""@"": ""Specifies which nameserver to query directly""}","","",""
"iptables-list-rules","IPTables - List All Rules","post-exploitation","sudo iptables -L -v -n","Display all iptables firewall rules (Linux)","firewall","","Run with sudo.

Use -t <table> to specify table (filter, nat, mangle, raw)","high","","","","","{""-L"": ""List all rules in selected chain (default: all chains)"", ""-v"": ""Verbose output (shows packet/byte counters, interface)"", ""-n"": ""Numeric output (don't resolve hostnames/ports)""}","","[""ufw-status"", ""firewalld-list-all""]",""
"iptables-allow-port","IPTables - Allow Inbound Port","post-exploitation","sudo iptables -A INPUT -p <PROTOCOL> --dport <PORT> -j ACCEPT","Add iptables rule to allow inbound traffic on specific port","firewall","sudo iptables -A INPUT -p tcp --dport 4444 -j ACCEPT","Rule is not persistent by default.

Use iptables-save to persist across reboots.","high","","","","","{""-A INPUT"": ""Append rule to INPUT chain (inbound traffic)"", ""-p"": ""Protocol to match"", ""--dport"": ""Destination port to match"", ""-j ACCEPT"": ""Jump target (ACCEPT allows the packet)""}","","[""ufw-allow-port""]",""
"iptables-port-forward","IPTables - Port Forwarding","post-exploitation","sudo iptables -t nat -A PREROUTING -p <PROTOCOL> --dport <SRC_PORT> -j REDIRECT --to-port <DST_PORT>","Forward traffic from one port to another (port forwarding/redirect)","firewall","sudo iptables -t nat -A PREROUTING -p tcp --dport 80 -j REDIRECT --to-port 8080","Useful for bypassing firewall restrictions or redirecting traffic through allowed ports","high","","","","","{""-t nat"": ""Specify NAT table (for port forwarding)"", ""-A PREROUTING"": ""Append to PREROUTING chain (before routing decision)"", ""-p"": ""Protocol to match"", ""--dport"": ""Destination port (incoming)"", ""-j REDIRECT"": ""Redirect packets to different port"", ""--to-port"": ""Target port for redirection""}","","",""
"iptables-delete-rule","IPTables - Delete Rule by Number","post-exploitation","sudo iptables -D <CHAIN> <RULE_NUMBER>","Delete specific iptables rule by line number","firewall","sudo iptables -D INPUT 3","Use --line-numbers to see rule numbers before deleting","medium","","","","","{""-D"": ""Delete rule from chain"", ""<CHAIN>"": ""Chain containing the rule"", ""<RULE_NUMBER>"": ""Position of rule to delete""}","","",""
"iptables-flush-all","IPTables - Flush All Rules","post-exploitation","sudo iptables -F","Remove all iptables rules (WARNING: may lock you out)","firewall","","WARNING:
May lose SSH access if default policy is DROP.

Use with caution.","medium","","","","","{""-F"": ""Flush (delete) all rules in selected chain or all chains""}","","",""
"ufw-status","UFW - Check Firewall Status","post-exploitation","sudo ufw status verbose","Display UFW (Uncomplicated Firewall) status and rules","firewall","","UFW is the default firewall on Ubuntu/Debian systems","high","","","","","{""status"": ""Show firewall status"", ""verbose"": ""Show detailed rule information""}","","[""iptables-list-rules"", ""firewalld-list-all""]",""
"ufw-allow-port","UFW - Allow Port","post-exploitation","sudo ufw allow <PORT>/<PROTOCOL>","Allow inbound traffic on specific port","firewall","sudo ufw allow 4444/tcp","","high","","","","","{""allow"": ""Allow traffic (creates ACCEPT rule)"", ""<PORT>/<PROTOCOL>"": ""Port and protocol to allow""}","","[""iptables-allow-port""]",""
"ufw-disable","UFW - Disable Firewall","post-exploitation","sudo ufw disable","Disable UFW firewall (allows all traffic)","firewall","","Rules are preserved but not enforced.

Use 'sudo ufw enable' to re-enable.","high","","","","","{""disable"": ""Turn off firewall (does not delete rules)""}","","",""
"firewalld-list-all","Firewalld - List All Rules","post-exploitation","sudo firewall-cmd --list-all","Display all firewalld rules and zones","firewall","","Firewalld is default on RHEL/CentOS/Fedora systems","medium","","","","","{""--list-all"": ""List all zones, services, ports, and rules""}","","[""iptables-list-rules"", ""ufw-status""]",""
"firewalld-add-port","Firewalld - Add Port Rule","post-exploitation","sudo firewall-cmd --zone=public --add-port=<PORT>/<PROTOCOL> --permanent","Allow inbound traffic on specific port","firewall","sudo firewall-cmd --zone=public --add-port=4444/tcp --permanent","","medium","","","","","{""--zone=public"": ""Target zone (usually 'public' for Internet-facing)"", ""--add-port"": ""Add port to allowed list"", ""--permanent"": ""Make rule persistent across reboots""}","","",""
"firewalld-port-forward","Firewalld - Port Forwarding","post-exploitation","sudo firewall-cmd --zone=public --add-forward-port=port=<SRC_PORT>:proto=<PROTOCOL>:toport=<DST_PORT> --permanent","Forward traffic from one port to another","firewall","sudo firewall-cmd --zone=public --add-forward-port=port=80:proto=tcp:toport=8080 --permanent","","medium","","","","","{""--add-forward-port"": ""Add port forwarding rule"", ""port="": ""Source port"", ""proto="": ""Protocol"", ""toport="": ""Destination port"", ""--permanent"": ""Persist across reboots""}","","",""
"netsh-firewall-show","Netsh - Show Firewall Status (Windows)","post-exploitation","netsh advfirewall show allprofiles","Display Windows firewall status and configuration","firewall","","Requires Administrator privileges","high","","","","","{""advfirewall"": ""Advanced firewall configuration"", ""show"": ""Display settings"", ""allprofiles"": ""All profiles (Domain, Private, Public)""}","","[""netsh-firewall-show-state""]",""
"netsh-firewall-show-state","Netsh - Show Firewall State (Legacy)","post-exploitation","netsh firewall show state","Show Windows firewall state (legacy command, works on older Windows)","firewall","","Deprecated but still works on older Windows versions","medium","","","","","{""firewall"": ""Legacy firewall command"", ""show state"": ""Display current firewall state""}","","[""netsh-firewall-show""]",""
"netsh-firewall-add-rule","Netsh - Add Firewall Allow Rule","post-exploitation","netsh advfirewall firewall add rule name=""<RULE_NAME>"" protocol=<PROTOCOL> dir=in localport=<PORT> action=allow","Add Windows firewall rule to allow inbound traffic","firewall","netsh advfirewall firewall add rule name=""Allow_ReverseShell"" protocol=TCP dir=in localport=4444 action=allow","Requires Administrator privileges.

Rule persists across reboots.","high","","","","","{""add rule"": ""Create new firewall rule"", ""name="": ""Rule name (must be unique)"", ""protocol="": ""Network protocol"", ""dir=in"": ""Direction (in=inbound, out=outbound)"", ""localport="": ""Local port number"", ""action=allow"": ""Allow the traffic (vs block)""}","","",""
"netsh-firewall-port-forward","Netsh - Port Forwarding (Windows)","post-exploitation","netsh advfirewall firewall add rule name=""<RULE_NAME>"" protocol=<PROTOCOL> dir=in localip=<LOCAL_IP> localport=<SRC_PORT> action=allow","Forward traffic from one port to another on Windows","firewall","netsh advfirewall firewall add rule name=""port_forward_ssh_2222"" protocol=TCP dir=in localip=192.168.50.64 localport=2222 action=allow","This allows firewall rule.

Use 'netsh interface portproxy' for actual port forwarding.","high","","","","","{""name="": ""Unique rule name"", ""protocol="": ""Network protocol"", ""dir=in"": ""Inbound traffic"", ""localip="": ""Bind to specific local IP"", ""localport="": ""Port to allow"", ""action=allow"": ""Allow the traffic""}","","",""
"netsh-portproxy-add","Netsh - Add Port Proxy (Port Forward)","post-exploitation","netsh interface portproxy add v4tov4 listenport=<SRC_PORT> listenaddress=<LISTEN_IP> connectport=<DST_PORT> connectaddress=<DST_IP>","Create actual port forwarding/proxy rule on Windows","firewall","netsh interface portproxy add v4tov4 listenport=2222 listenaddress=0.0.0.0 connectport=22 connectaddress=127.0.0.1","Useful for pivoting through compromised Windows hosts.

Firewall rule must be added separately.","high","","","","","{""portproxy"": ""Port proxy/forwarding configuration"", ""add v4tov4"": ""Add IPv4 to IPv4 forwarding rule"", ""listenport="": ""Port to accept connections on"", ""listenaddress="": ""IP to bind listener (0.0.0.0 = all interfaces)"", ""connectport="": ""Destination port"", ""connectaddress="": ""Destination IP""}","","",""
"netsh-portproxy-show","Netsh - Show Port Proxy Rules","post-exploitation","netsh interface portproxy show all","List all active port forwarding/proxy rules","firewall","","","high","","","","","{""portproxy"": ""Port proxy/forwarding"", ""show all"": ""Display all forwarding rules""}","","",""
"netsh-firewall-disable","Netsh - Disable Windows Firewall","post-exploitation","netsh advfirewall set allprofiles state off","Turn off Windows firewall for all profiles","firewall","","Requires Administrator privileges.

Very obvious IoC - use with caution.","high","","","","","{""set allprofiles"": ""Configure all profiles (Domain/Private/Public)"", ""state off"": ""Disable firewall""}","","",""
"netsh-firewall-delete-rule","Netsh - Delete Firewall Rule","post-exploitation","netsh advfirewall firewall delete rule name=""<RULE_NAME>""","Remove specific firewall rule by name","firewall","netsh advfirewall firewall delete rule name=""Allow_ReverseShell""","Use to clean up custom rules after exploitation","medium","","","","","{""delete rule"": ""Remove firewall rule"", ""name="": ""Rule name to delete""}","","",""
