"cheatsheet_id","tag_name"
"amsi-bypass-methodology","oscp-priority"
"amsi-bypass-methodology","post-exploitation"
"amsi-bypass-methodology","av-evasion"
"uac-bypass-techniques","uac"
"uac-bypass-techniques","bypass"
"uac-bypass-techniques","privilege-escalation"
"uac-bypass-techniques","windows"
"uac-bypass-techniques","registry"
"uac-bypass-techniques","fodhelper"
"uac-bypass-techniques","eventvwr"
"ad-silver-ticket-methodology","OSCP:HIGH"
"ad-silver-ticket-methodology","ACTIVE_DIRECTORY"
"ad-silver-ticket-methodology","SILVER_TICKET"
"ad-silver-ticket-methodology","KERBEROS_ATTACKS"
"ad-silver-ticket-methodology","LATERAL_MOVEMENT"
"ad-silver-ticket-methodology","PERSISTENCE"
"ad-silver-ticket-methodology","METHODOLOGY"
"ad-kerberos-lateral-movement","ACTIVE_DIRECTORY"
"ad-kerberos-lateral-movement","KERBEROS"
"ad-kerberos-lateral-movement","OVERPASS_THE_HASH"
"ad-kerberos-lateral-movement","PASS_THE_TICKET"
"ad-kerberos-lateral-movement","LATERAL_MOVEMENT"
"ad-kerberos-lateral-movement","MIMIKATZ"
"ad-kerberos-lateral-movement","RUBEUS"
"ad-kerberos-lateral-movement","TGT"
"ad-kerberos-lateral-movement","OSCP:MEDIUM"
"ad-session-enumeration","ACTIVE_DIRECTORY"
"ad-session-enumeration","SESSION_ENUMERATION"
"ad-session-enumeration","NETSESSIONENUM"
"ad-session-enumeration","REMOTE_REGISTRY"
"ad-session-enumeration","OS_VERSION"
"ad-session-enumeration","LATERAL_MOVEMENT"
"ad-session-enumeration","CREDENTIAL_THEFT"
"ad-session-enumeration","OSCP:HIGH"
"ad-golden-ticket-methodology","ACTIVE_DIRECTORY"
"ad-golden-ticket-methodology","GOLDEN_TICKET"
"ad-golden-ticket-methodology","KERBEROS_ATTACKS"
"ad-golden-ticket-methodology","PERSISTENCE"
"ad-golden-ticket-methodology","LATERAL_MOVEMENT"
"ad-golden-ticket-methodology","PRIVILEGE_ESCALATION"
"ad-golden-ticket-methodology","DOMAIN_DOMINANCE"
"ad-golden-ticket-methodology","MIMIKATZ"
"ad-golden-ticket-methodology","RUBEUS"
"ad-golden-ticket-methodology","DCSYNC"
"ad-golden-ticket-methodology","TICKET_FORGERY"
"ad-golden-ticket-methodology","OSCP:HIGH"
"ad-golden-ticket-methodology","POST_EXPLOITATION"
"ad-golden-ticket-methodology","WINDOWS"
"ad-lateral-movement-techniques","ACTIVE_DIRECTORY"
"ad-lateral-movement-techniques","LATERAL_MOVEMENT"
"ad-lateral-movement-techniques","WINRM"
"ad-lateral-movement-techniques","PSEXEC"
"ad-lateral-movement-techniques","WMI"
"ad-lateral-movement-techniques","DCOM"
"ad-lateral-movement-techniques","OSCP:HIGH"
"ad-password-spraying-methodology","ACTIVE_DIRECTORY"
"ad-password-spraying-methodology","PASSWORD_SPRAY"
"ad-password-spraying-methodology","METHODOLOGY"
"ad-password-spraying-methodology","OSCP:HIGH"
"ad-password-spraying-methodology","WORKFLOW"
"ad-group-enumeration","ACTIVE_DIRECTORY"
"ad-group-enumeration","ENUMERATION"
"ad-group-enumeration","GROUPS"
"ad-group-enumeration","NESTED_GROUPS"
"ad-group-enumeration","POWERSHELL"
"ad-group-enumeration","POWERVIEW"
"ad-group-enumeration","FLAG_EXTRACTION"
"ad-group-enumeration","OSCP:HIGH"
"ad-group-enumeration","STARTER"
"ad-account-policy-discovery","ACTIVE_DIRECTORY"
"ad-account-policy-discovery","PASSWORD_POLICY"
"ad-account-policy-discovery","ENUMERATION"
"ad-account-policy-discovery","OSCP:HIGH"
"ad-account-policy-discovery","WORKFLOW"
"ad-asreproast-methodology","ACTIVE_DIRECTORY"
"ad-asreproast-methodology","AS-REP_ROASTING"
"ad-asreproast-methodology","KERBEROS"
"ad-asreproast-methodology","METHODOLOGY"
"ad-asreproast-methodology","OSCP:HIGH"
"ad-asreproast-methodology","WORKFLOW"
"ad-lateral-movement-prep","ACTIVE_DIRECTORY"
"ad-lateral-movement-prep","LATERAL_MOVEMENT"
"ad-lateral-movement-prep","SESSION_ENUMERATION"
"ad-lateral-movement-prep","SHARES"
"ad-lateral-movement-prep","GPP"
"ad-lateral-movement-prep","CREDENTIAL_HARVESTING"
"ad-lateral-movement-prep","OSCP:HIGH"
"ad-service-account-hunting","ACTIVE_DIRECTORY"
"ad-service-account-hunting","KERBEROASTING"
"ad-service-account-hunting","SPN"
"ad-service-account-hunting","SERVICE_ACCOUNTS"
"ad-service-account-hunting","PRIVILEGE_ESCALATION"
"ad-service-account-hunting","OSCP:HIGH"
"ad-service-account-hunting","QUICK_WIN"
"ad-dcsync-methodology","OSCP:HIGH"
"ad-dcsync-methodology","ACTIVE_DIRECTORY"
"ad-dcsync-methodology","DCSYNC"
"ad-dcsync-methodology","CREDENTIAL_DUMPING"
"ad-dcsync-methodology","POST_EXPLOITATION"
"ad-dcsync-methodology","METHODOLOGY"
"ad-dcsync-methodology","PERSISTENCE"
"ad-dcsync-methodology","GOLDEN_TICKET"
"ad-shadow-copy-ntds-extraction-methodology","ACTIVE_DIRECTORY"
"ad-shadow-copy-ntds-extraction-methodology","NTDS"
"ad-shadow-copy-ntds-extraction-methodology","SHADOW_COPY"
"ad-shadow-copy-ntds-extraction-methodology","VSS"
"ad-shadow-copy-ntds-extraction-methodology","CREDENTIAL_ACCESS"
"ad-shadow-copy-ntds-extraction-methodology","PERSISTENCE"
"ad-shadow-copy-ntds-extraction-methodology","OSCP:HIGH"
"ad-initial-reconnaissance","ACTIVE_DIRECTORY"
"ad-initial-reconnaissance","ENUMERATION"
"ad-initial-reconnaissance","RECONNAISSANCE"
"ad-initial-reconnaissance","OSCP:HIGH"
"ad-initial-reconnaissance","STARTER"
"ad-initial-reconnaissance","DOMAIN_RECON"
"ad-pass-the-hash-attacks","ACTIVE_DIRECTORY"
"ad-pass-the-hash-attacks","PASS_THE_HASH"
"ad-pass-the-hash-attacks","NTLM"
"ad-pass-the-hash-attacks","LATERAL_MOVEMENT"
"ad-pass-the-hash-attacks","IMPACKET"
"ad-pass-the-hash-attacks","EVIL-WINRM"
"ad-pass-the-hash-attacks","UAC"
"ad-pass-the-hash-attacks","OSCP:HIGH"
"ad-permission-abuse-hunting","ACTIVE_DIRECTORY"
"ad-permission-abuse-hunting","ACL"
"ad-permission-abuse-hunting","PERMISSIONS"
"ad-permission-abuse-hunting","PRIVILEGE_ESCALATION"
"ad-permission-abuse-hunting","GENERICALL"
"ad-permission-abuse-hunting","WRITEDACL"
"ad-permission-abuse-hunting","WRITEOWNER"
"ad-permission-abuse-hunting","OSCP:HIGH"
"ssh-private-key-cracking","PASSWORD_ATTACKS"
"ssh-private-key-cracking","SSH"
"ssh-private-key-cracking","PRIVATE_KEY"
"ssh-private-key-cracking","PASSPHRASE"
"ssh-private-key-cracking","JOHN"
"ssh-private-key-cracking","OSCP:HIGH"
"hash-cracking-methodology","PASSWORD_ATTACKS"
"hash-cracking-methodology","HASH_CRACKING"
"hash-cracking-methodology","HASHCAT"
"hash-cracking-methodology","JOHN"
"hash-cracking-methodology","METHODOLOGY"
"hash-cracking-methodology","OSCP:HIGH"
"keepass-database-cracking","PASSWORD_ATTACKS"
"keepass-database-cracking","KEEPASS"
"keepass-database-cracking","PASSWORD_MANAGER"
"keepass-database-cracking","HASH_CRACKING"
"keepass-database-cracking","OSCP:MEDIUM"
"network-authentication-attacks","PASSWORD_ATTACKS"
"network-authentication-attacks","NETWORK_AUTH"
"network-authentication-attacks","HYDRA"
"network-authentication-attacks","OSCP:HIGH"
"network-authentication-attacks","DICTIONARY_ATTACK"
"network-authentication-attacks","PASSWORD_SPRAY"
"quick-wins","OSCP:HIGH"
"quick-wins","QUICK_WIN"
"quick-wins","ENUMERATION"
"quick-wins","PRIVESC"
"quick-wins","TIME_SENSITIVE"
